num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
1,4,4,4,108,4,0,112,1
2,112,112,112,0,112,0,112,1
3,114,114,112,0,110,2,112,2
4,112,112,112,0,112,0,112,1
5,112,112,112,0,112,0,112,1
6,112,112,112,0,112,0,112,1
7,112,112,112,0,112,0,112,1
8,114,114,112,0,110,2,112,2
9,222,222,112,0,2,110,112,2
10,112,112,112,0,112,0,112,1
11,112,112,112,0,112,0,112,1
12,112,112,112,0,112,0,112,1
13,112,112,112,0,112,0,112,1
14,8,8,8,104,8,0,112,1
15,112,112,112,0,112,0,112,1
16,114,114,112,0,110,2,112,2
17,120,120,112,0,105,7,112,3
18,111,111,111,1,111,0,112,1
19,112,112,112,0,112,0,112,1
20,112,112,112,0,112,0,112,1
21,112,112,112,0,112,0,112,1
22,81,81,81,31,81,0,112,1
23,112,112,112,0,112,0,112,1
24,112,112,112,0,112,0,112,1
25,112,112,112,0,112,0,112,1
26,112,112,112,0,112,0,112,1
27,112,112,112,0,112,0,112,1
28,112,112,112,0,112,0,112,1
29,112,112,112,0,112,0,112,1
30,112,112,112,0,112,0,112,1
31,111,111,111,1,111,0,112,1
32,112,112,112,0,112,0,112,1
33,112,112,112,0,112,0,112,1
34,113,113,111,1,109,2,112,2
35,104,104,102,10,101,1,112,3
36,112,112,112,0,112,0,112,1
37,112,112,112,0,112,0,112,1
38,112,112,112,0,112,0,112,1
39,97,97,97,15,97,0,112,1
40,112,112,112,0,112,0,112,1
41,112,112,112,0,112,0,112,1
42,112,112,112,0,112,0,112,1
43,112,112,112,0,112,0,112,1
44,112,112,112,0,112,0,112,1
45,81,81,81,31,81,0,112,1
46,95,95,95,17,95,0,112,1
47,94,94,94,18,94,0,112,1
48,80,80,80,32,80,0,112,1
49,104,104,104,8,104,0,112,1
50,111,111,111,1,111,0,112,1
51,112,112,112,0,112,0,112,1
52,112,112,112,0,112,0,112,1
53,112,112,112,0,112,0,112,1
54,111,111,111,1,111,0,112,1
55,3,3,3,109,3,0,112,1
56,110,110,110,2,110,0,112,1
57,81,81,81,31,81,0,112,1
58,112,112,112,0,112,0,112,1
59,112,112,112,0,112,0,112,1
60,112,112,112,0,112,0,112,1
61,111,111,111,1,111,0,112,1
62,112,112,112,0,112,0,112,1
63,3,3,3,109,3,0,112,1
64,80,80,80,32,80,0,112,1
65,112,112,112,0,112,0,112,1
66,112,112,112,0,112,0,112,1
67,111,111,110,2,109,1,112,2
68,110,110,110,2,110,0,112,1
69,112,112,112,0,112,0,112,1
70,112,112,112,0,112,0,112,1
71,112,112,112,0,112,0,112,1
72,112,112,112,0,112,0,112,1
73,112,112,112,0,112,0,112,1
74,111,111,111,1,111,0,112,1
75,81,81,81,31,81,0,112,1
76,112,112,112,0,112,0,112,1
77,110,110,110,2,110,0,112,1
78,112,112,112,0,112,0,112,1
79,112,112,112,0,112,0,112,1
80,47,47,38,74,29,9,112,2
81,112,112,112,0,112,0,112,1
82,119,119,112,0,107,5,112,3
83,108,108,108,4,108,0,112,1
84,108,108,108,4,108,0,112,1
85,110,110,110,2,110,0,112,1
86,110,110,110,2,110,0,112,1
87,106,106,106,6,106,0,112,1
88,110,110,110,2,110,0,112,1
89,99,99,99,13,99,0,112,1
90,81,81,81,31,81,0,112,1
91,211,211,112,0,13,99,112,2
92,13,13,13,99,13,0,112,1
93,80,80,80,32,80,0,112,1
94,80,80,80,32,80,0,112,1
95,105,105,105,7,105,0,112,1
96,112,112,111,1,110,1,112,2
97,113,113,112,0,111,1,112,2
98,113,113,112,0,111,1,112,2
99,112,112,112,0,112,0,112,1
100,110,110,110,2,110,0,112,1
101,108,108,108,4,108,0,112,1
102,85,85,85,27,85,0,112,1
103,102,102,102,10,102,0,112,1
104,33,33,33,79,33,0,112,1
105,110,110,110,2,110,0,112,1
106,108,108,108,4,108,0,112,1
107,108,108,108,4,108,0,112,1
108,100,100,100,12,100,0,112,1
109,80,80,80,32,80,0,112,1
110,81,81,81,31,81,0,112,1
111,80,80,80,32,80,0,112,1
112,79,79,79,33,79,0,112,1
113,107,107,107,5,107,0,112,1
114,105,105,105,7,105,0,112,1
115,83,83,83,29,83,0,112,1
116,111,111,111,1,111,0,112,1
117,112,112,112,0,112,0,112,1
118,112,112,112,0,112,0,112,1
119,80,80,80,32,80,0,112,1
120,81,81,81,31,81,0,112,1
121,109,109,109,3,109,0,112,1
122,111,111,111,1,111,0,112,1
123,112,112,112,0,112,0,112,1
124,111,111,111,1,111,0,112,1
125,111,111,111,1,111,0,112,1
126,81,81,81,31,81,0,112,1
127,112,112,112,0,112,0,112,1
128,111,111,111,1,111,0,112,1
129,42,42,42,70,42,0,112,1
130,176,176,112,0,48,64,112,2
131,79,79,79,33,79,0,112,1
132,81,81,81,31,81,0,112,1
133,108,108,108,4,108,0,112,1
134,109,109,109,3,109,0,112,1
135,112,112,112,0,112,0,112,1
136,112,112,112,0,112,0,112,1
137,112,112,112,0,112,0,112,1
138,81,81,81,31,81,0,112,1
139,112,112,112,0,112,0,112,1
140,112,112,112,0,112,0,112,1
141,111,111,111,1,111,0,112,1
142,112,112,112,0,112,0,112,1
143,112,112,112,0,112,0,112,1
144,112,112,112,0,112,0,112,1
145,112,112,112,0,112,0,112,1
146,112,112,112,0,112,0,112,1
147,112,112,112,0,112,0,112,1
148,111,111,111,1,111,0,112,1
149,112,112,112,0,112,0,112,1
150,112,112,112,0,112,0,112,1
151,112,112,112,0,112,0,112,1
152,112,112,112,0,112,0,112,1
153,112,112,112,0,112,0,112,1
154,31,31,31,81,31,0,112,1
155,111,111,111,1,111,0,112,1
156,112,112,112,0,112,0,112,1
157,112,112,112,0,112,0,112,1
158,120,120,112,0,105,7,112,3
159,114,114,112,0,110,2,112,2
160,112,112,112,0,112,0,112,1
161,112,112,112,0,112,0,112,1
162,112,112,112,0,112,0,112,1
163,112,112,112,0,112,0,112,1
164,112,112,112,0,112,0,112,1
165,111,111,111,1,111,0,112,1
166,96,96,96,16,96,0,112,1
167,112,112,112,0,112,0,112,1
168,112,112,112,0,112,0,112,1
169,2739,2739,104,8,9,95,112,87
170,23,23,23,89,23,0,112,1
171,112,112,112,0,112,0,112,1
172,112,112,112,0,112,0,112,1
173,111,111,111,1,111,0,112,1
174,112,112,112,0,112,0,112,1
175,112,112,112,0,112,0,112,1
