id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,18h–22t,89353,0.09527539539999999,1,7,0.16461874940000004,9,False
2,134h–135t,10059,0.09527539539999999,1,7,0.1302641145,8,False
3,218h–219t,6442,0.00273142,1,2,0.027427798000000003,5,False
4,383h–384t,21885,0.00273142,1,2,0.0174662243,4,False
5,87h–91t,44538,0.0007980428,1,3,0.0007980428,3,False
6,58h–59t,4138,0.0007980428,1,3,0.0007980428,3,False
7,349h–350t,904,0.000517236,1,3,0.0013720274000000002,5,False
8,341h–342t,4283,0.0005003652000000001,1,3,0.002828616,7,False
9,314h–315t,1639,0.0005003652000000001,1,3,0.002828616,7,False
10,271h–272t,20681,0.0004971172,1,3,0.0013073716,5,False
11,267h–268t,5969,0.0004971172,1,3,0.0013073716,5,False
12,346h–349t,55474,0.0002735544,1,2,0.0028760155,6,False
13,15h–16t,2122,0.000257547,1,2,0.000257547,2,False
14,295h–296t,14668,0.00014417800000000001,1,2,0.0007406178,4,False
15,22h–25t,51975,7.100530000000001e-05,1,2,7.100530000000001e-05,2,False
16,336h–337t,4258,6.4958e-05,1,2,0.000247014,3,False
17,333h–334t,378,6.4958e-05,1,2,0.000247014,3,False
18,355h–356t,18608,6.16009e-05,1,2,0.0004996007,4,False
19,297h–298t,4563,6.16009e-05,1,2,0.0004412231,4,False
20,121h–122t,17379,0,0,0,0.025071083600000002,4,False
21,279h–280t,14698,0,0,0,0.012889448,3,False
22,289h–292t,55957,0,0,0,0.009936803599999999,3,False
23,182h–378h,36983,0,0,0,0.004540552999999999,2,False
24,47h–48t,6296,0,0,0,0.004480784999999999,2,False
25,282h–284t,24152,0,0,0,0.004447883999999999,2,False
26,311h–313t,52516,0,0,0,0.0013244346,5,False
27,327h–328t,792,0,0,0,0.000966516,4,False
28,329h–330t,4258,0,0,0,0.0008217283,4,False
29,237h–239t,11228,0,0,0,0.000690937,4,False
30,331h–332t,5186,0,0,0,0.0005957572,3,False
31,274h–278t,69723,0,0,0,0.0005947874,3,False
32,322h–323t,4937,0,0,0,0.0005722946,3,False
33,350h–351t,5471,0,0,0,0.000554954,3,False
34,255h–259t,50881,0,0,0,0.0005471728,3,False
35,399h–400t,522,0,0,0,0.0005471202,3,False
36,366h–367t,272,0,0,0,0.0005442196000000001,3,False
37,4h–6t,61982,0,0,0,0.0003326782,3,False
38,384h–386t,37481,0,0,0,0.0002627153,2,False
39,361h–362t,6055,0,0,0,0.0002514689,2,False
40,213h–215t,8072,0,0,0,0.0002382469,2,False
41,120h–121t,2034,0,0,0,0.0001825848,2,False
42,144h–146t,16955,0,0,0,0.000166828,2,False
43,242h–243t,10554,0,0,0,0.0001397878,2,False
44,400h–401t,1137,0,0,0,0.00013944159999999998,2,False
45,321h–322t,356,0,0,0,0.0001223259,2,False
46,303h–307t,25520,0,0,0,0.00011853579999999999,2,False
47,292h–293t,4992,0,0,0,5.68882e-05,2,False
48,233h–237t,51379,0,0,0,5.68882e-05,2,False
49,380h–381t,4430,0,0,0,3.83632e-05,2,False
50,142h–143t,15341,0,0,0,3.83632e-05,2,False
51,132h–133t,3118,0,0,0,3.73961e-05,2,False
52,49h–50t,892,0,0,0,2.63207e-05,2,False
53,97h–98t,1,0,0,0,0,0,True
54,94h–97t,3126,0,0,0,0,0,True
55,76h–82t,54082,0,0,0,0,0,True
56,74h–75t,8097,0,0,0,0,1,True
57,63h–71t,155435,0,0,0,0,1,True
58,62h–63t,668,0,0,0,0,0,True
59,61h–62t,5035,0,0,0,0,0,True
60,48h–49t,379,0,0,0,0,1,True
61,45h–47t,21655,0,0,0,0,1,True
62,44h–45t,3958,0,0,0,0,1,True
63,396h–397t,699,0,0,0,0,1,True
64,394h–395t,8055,0,0,0,0,1,True
65,390h–393t,24770,0,0,0,0,1,True
66,38h–39t,26380,0,0,0,0,0,True
67,388h–389t,707,0,0,0,0,1,True
68,382h–383t,5472,0,0,0,0,1,True
69,37h–38t,626,0,0,0,0,0,True
70,371h–372t,1,0,0,0,0,0,True
71,370h–371t,3219,0,0,0,0,0,True
72,36h–37t,4043,0,0,0,0,0,True
73,364h–365t,28690,0,0,0,0,1,True
74,363h–364t,7306,0,0,0,0,1,True
75,362h–363t,3020,0,0,0,0,1,True
76,357h–360t,22664,0,0,0,0,1,True
77,356h–357t,1829,0,0,0,0,1,True
78,354h–355t,3262,0,0,0,0,1,True
79,353h–354t,159,0,0,0,0,1,True
80,339h–340t,11967,0,0,0,0,1,True
81,324h–326t,34602,0,0,0,0,1,True
82,31h–32t,172,0,0,0,0,0,True
83,313h–314t,11945,0,0,0,0,1,True
84,310h–311t,8147,0,0,0,0,1,True
85,309h–310t,510,0,0,0,0,0,True
86,29h–30t,4481,0,0,0,0,1,True
87,286h–287t,15278,0,0,0,0,1,True
88,281h–282t,1261,0,0,0,0,1,True
89,261h–263t,20706,0,0,0,0,1,True
90,25h–26t,17952,0,0,0,0,0,True
91,250h–251t,13639,0,0,0,0,1,True
92,249h–250t,4091,0,0,0,0,0,True
93,245h–248t,28404,0,0,0,0,1,True
94,241h–242t,6232,0,0,0,0,1,True
95,231h–232t,10226,0,0,0,0,1,True
96,229h–230t,5734,0,0,0,0,1,True
97,207h–208t,15217,0,0,0,0,1,True
98,204h–205t,3083,0,0,0,0,0,True
99,197h–204t,118157,0,0,0,0,1,True
100,191h–192t,16346,0,0,0,0,0,True
101,190t–402h,17944,0,0,0,0,1,True
102,180h–181t,8064,0,0,0,0,1,True
103,17h–18t,1,0,0,0,0,0,True
104,179t–379t,7650,0,0,0,0,1,True
105,159h–165t,103938,0,0,0,0,1,True
106,154h–157t,33953,0,0,0,0,1,True
107,151h–152t,5922,0,0,0,0,0,True
108,147h–148t,31510,0,0,0,0,0,True
109,136h–141t,85099,0,0,0,0,0,True
110,135h–136t,713,0,0,0,0,0,True
111,12t–6h,120070,0,0,0,0,1,True
112,124h–131t,116535,0,0,0,0,0,True
113,123h–124t,27875,0,0,0,0,1,True
114,122h–123t,4678,0,0,0,0,1,True
115,118h–119t,3393,0,0,0,0,0,True
116,115h–116t,32473,0,0,0,0,1,True
117,111h–112t,3486,0,0,0,0,0,True
118,110h–111t,106,0,0,0,0,1,True
119,108h–109t,4126,0,0,0,0,0,True
120,106t–99h,124048,0,0,0,0,1,True
121,106h–107t,11330,0,0,0,0,0,True
