block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent,insertions_count,deletions_count
404,0,0.4244460767,2,23,0.30357142857142855,False,10,13
167,1,0.2904106790999999,2,20,0.25892857142857145,False,10,10
411,2,0.24144781480000005,2,15,0.20535714285714285,False,13,2
100,3,0.19781755409999996,2,16,0.42857142857142855,False,6,10
178,4,0.190914927,2,13,0.30357142857142855,False,2,11
171,5,0.17303700160000005,2,13,0.2857142857142857,False,11,2
423,6,0.14010063879999995,2,14,0.17857142857142858,False,9,5
173,5,0.1299518492,2,13,0.29464285714285715,False,4,9
172,5,0.1299518492,2,13,0.29464285714285715,False,4,9
170,5,0.1299518492,2,13,0.29464285714285715,False,4,9
413,7,0.12545706500000003,1,9,0.09821428571428571,False,9,0
203,8,0.11172909999999998,1,8,0.4642857142857143,False,1,8
104,9,0.10215582500000002,2,12,0.5714285714285714,False,4,8
484,10,0.081198568,1,7,0.07142857142857142,False,7,0
358,11,0.07733163800000002,1,7,0.09821428571428571,False,7,0
495,12,0.06889310899999998,1,6,0.0625,False,6,0
169,13,0.06128517199999999,1,7,0.10714285714285714,False,7,1
168,13,0.06128517199999999,1,7,0.10714285714285714,False,7,1
201,14,0.05684960299999999,1,6,0.5357142857142857,False,1,6
439,15,0.04639455099999999,2,9,0.22321428571428573,False,5,4
185,16,0.0442981032,1,5,0.044642857142857144,False,5,0
184,16,0.0442981032,1,5,0.044642857142857144,False,5,0
421,17,0.03808676999999999,2,7,0.10714285714285714,False,5,2
438,18,0.036853736,1,5,0.0625,False,5,1
256,19,0.036456804,1,5,0.9285714285714286,False,0,5
118,20,0.0347616068,1,5,0.9375,False,0,5
117,20,0.0347616068,1,5,0.9375,False,0,5
116,20,0.0347616068,1,5,0.9375,False,0,5
422,21,0.034342094,1,5,0.05357142857142857,False,5,0
443,22,0.028311759000000002,1,4,0.03571428571428571,False,4,0
441,23,0.027161692999999997,1,4,0.03571428571428571,False,4,0
175,24,0.025561591,1,4,0.044642857142857144,False,4,0
174,24,0.025561591,1,4,0.044642857142857144,False,4,0
70,25,0.024624714899999997,1,4,0.6339285714285714,False,1,4
462,26,0.022285271000000002,1,4,0.03571428571428571,False,4,0
431,27,0.021829244999999997,1,4,0.08035714285714286,False,4,0
464,28,0.021546981,1,4,0.03571428571428571,False,4,0
463,28,0.021546981,1,4,0.03571428571428571,False,4,0
364,29,0.016439363699999997,1,4,0.9553571428571429,False,0,4
204,30,0.014414604499999999,1,4,0.8303571428571429,False,1,4
483,31,0.0131562234,1,3,0.026785714285714284,False,3,0
498,32,0.012372227999999999,1,3,0.026785714285714284,False,3,0
487,33,0.012257175999999998,1,3,0.026785714285714284,False,3,0
418,34,0.0121184306,1,3,0.044642857142857144,False,3,0
420,35,0.012106734000000001,1,3,0.026785714285714284,False,3,0
416,36,0.011762706399999998,1,3,0.026785714285714284,False,3,0
415,36,0.011762706399999998,1,3,0.026785714285714284,False,3,0
429,37,0.011527465999999998,1,3,0.026785714285714284,False,3,0
442,23,0.01143158,1,3,0.026785714285714284,False,3,0
458,38,0.011189687200000001,1,3,0.0625,False,3,1
428,39,0.010721366,1,3,0.026785714285714284,False,3,0
456,40,0.0106562486,1,3,0.05357142857142857,False,3,0
501,41,0.010571766,1,3,0.03571428571428571,False,3,0
500,41,0.010571766,1,3,0.03571428571428571,False,3,0
499,41,0.010571766,1,3,0.03571428571428571,False,3,0
460,42,0.009188188600000001,1,4,0.03571428571428571,False,4,0
188,43,0.009026948,1,3,0.07142857142857142,False,3,1
187,43,0.009026948,1,3,0.07142857142857142,False,3,1
200,44,0.005835349,1,2,0.7142857142857143,False,0,2
103,45,0.005400328999999999,1,2,0.7142857142857143,False,0,2
102,45,0.005400328999999999,1,2,0.7142857142857143,False,0,2
101,45,0.005400328999999999,1,2,0.7142857142857143,False,0,2
472,46,0.005210497800000001,1,2,0.017857142857142856,False,2,0
471,47,0.0051950116,1,3,0.026785714285714284,False,3,0
476,46,0.005022491799999999,1,2,0.017857142857142856,False,2,0
11,48,0.0049726849,1,2,0.7142857142857143,False,0,2
10,48,0.0049726849,1,2,0.7142857142857143,False,0,2
9,48,0.0049726849,1,2,0.7142857142857143,False,0,2
8,48,0.0049726849,1,2,0.7142857142857143,False,0,2
7,48,0.0049726849,1,2,0.7142857142857143,False,0,2
5,48,0.0049726849,1,2,0.7142857142857143,False,0,2
448,49,0.0048213032999999995,1,2,0.017857142857142856,False,2,0
466,50,0.0045949041999999996,1,2,0.026785714285714284,False,2,0
494,51,0.0045873962,1,2,0.017857142857142856,False,2,0
408,52,0.0045564133,2,5,0.0625,False,2,3
493,53,0.004457984,1,2,0.017857142857142856,False,2,0
435,54,0.004456213,1,2,0.026785714285714284,False,2,0
455,55,0.0043609373,1,2,0.017857142857142856,False,2,0
482,31,0.0043262627,1,2,0.017857142857142856,False,2,0
507,31,0.0043179027,1,2,0.017857142857142856,False,2,0
506,31,0.0043179027,1,2,0.017857142857142856,False,2,0
505,31,0.0043179027,1,2,0.017857142857142856,False,2,0
504,31,0.0043179027,1,2,0.017857142857142856,False,2,0
459,32,0.00423822,1,2,0.017857142857142856,False,2,0
