id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,217t–237t,2932,0.0002735544,1,2,0.0014787959,4,False
2,239h–240t,1588,0.0002735544,1,2,0.0008537188999999999,4,False
3,49h–72t,1564,0.0002216275,1,2,0.001404627,5,False
4,153h–164t,38345,0.0001938302,1,2,0.004134922399999999,7,False
5,122t–50t,12859,0.0001353847,1,2,0.0004917835,4,False
6,337t–8h,1634,8.19812e-05,1,2,0.001200301,5,False
7,264h–335h,1590,8.19812e-05,1,2,0.001200301,5,False
8,275h–281h,4559,7.736760000000001e-05,1,2,0.00020546460000000002,3,False
9,1064h–804h,38048,3.8411199999999996e-05,1,2,7.682239999999999e-05,3,False
10,284h–287t,3753,0,0,0,0.0024371996,6,False
11,56h–57t,1229,0,0,0,0.0013963243999999997,4,False
12,229h–235t,26912,0,0,0,0.0013244345999999998,5,False
13,69h–71t,3668,0,0,0,0.0010000239,4,False
14,121h–75h,1670,0,0,0,0.0007997948,4,False
15,1123t–737t,4238,0,0,0,0.0007980428,3,False
16,101t–71h,1571,0,0,0,0.0007701793999999999,3,False
17,1008t–907t,1913,0,0,0,0.000705155,4,False
18,116t–77t,2311,0,0,0,0.0005957572,3,False
19,34h–46t,71316,0,0,0,0.0005947874000000001,3,False
20,176h–177t,1569,0,0,0,0.0005722946,3,False
21,291h–292t,2862,0,0,0,0.0005692596,3,False
22,246h–250t,6774,0,0,0,0.000554954,3,False
23,133h–143h,1216,0,0,0,0.0005541407999999999,3,False
24,440t–489t,2034,0,0,0,0.0005471202,3,False
25,1040h–1058t,81120,0,0,0,0.00040582,3,False
26,324h–339t,1881,0,0,0,0.00040500979999999996,3,False
27,178h–179t,1212,0,0,0,0.0002864218,3,False
28,406h–409t,21612,0,0,0,0.0002627153,2,False
29,1075t–806t,2260,0,0,0,0.000260434,2,False
30,523h–525t,1211,0,0,0,0.00025294550000000003,2,False
31,513h–515t,2002,0,0,0,0.0002382469,2,False
32,1027h–1029t,8952,0,0,0,0.000235993,2,False
