block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent,insertions_count,deletions_count
163,0,0.00242064,1,5,0.8387096774193549,False,1,5
646,1,0.0020799346,1,5,0.4838709677419355,False,5,0
637,2,0.001789321,1,5,0.5483870967741935,False,5,0
640,3,0.0017180507999999999,1,5,1,False,2,3
98,4,0.0016989339999999998,4,11,3.032258064516129,False,7,4
599,5,0.0013080372,1,5,1,False,2,4
514,6,0.0012905144,2,6,0.9032258064516129,False,0,6
338,7,0.0012880729,1,4,1.4193548387096775,False,4,1
639,8,0.001271815,1,4,0.4838709677419355,False,4,1
482,9,0.0012558953,1,4,1.032258064516129,False,2,4
991,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
990,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
989,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
988,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
987,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
986,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
985,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
984,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
983,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
982,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
981,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
980,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
979,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
978,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
977,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
976,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
975,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
974,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
973,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
972,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
971,10,0.0012394383000000001,1,4,0.7741935483870968,False,1,4
319,11,0.0012394383000000001,1,4,1.7741935483870968,False,0,4
345,12,0.0012383888999999999,1,4,0.7419354838709677,False,0,4
908,13,0.0011982957,1,4,0.8387096774193549,False,0,4
907,13,0.0011982957,1,4,0.8387096774193549,False,0,4
609,14,0.0011730992,1,4,0.8064516129032258,False,0,4
608,14,0.0011730992,1,4,0.8064516129032258,False,0,4
607,14,0.0011629082,1,4,0.7741935483870968,False,0,4
650,15,0.0011613599,1,4,1.4193548387096775,False,1,5
647,16,0.0011417374,2,6,1.2580645161290323,False,0,6
1075,17,0.0011263723,1,4,0.8064516129032258,False,0,4
634,18,0.0010538697999999999,4,10,2.903225806451613,False,8,2
592,19,0.0010424778999999999,1,4,0.2903225806451613,False,0,4
336,20,0.0009895470000000001,3,7,1.8709677419354838,False,4,5
147,21,0.0009704854,2,6,1.032258064516129,False,5,2
377,22,0.0009610277,1,4,0.7096774193548387,False,1,4
931,23,0.0009389506999999998,1,4,0.7096774193548387,False,1,4
1150,24,0.000890757,1,3,0.0967741935483871,False,3,0
161,25,0.0008837132,1,4,3.806451612903226,False,0,4
424,26,0.0008450879,2,6,1,False,2,4
226,27,0.0008249398,2,5,2.129032258064516,False,0,5
1143,28,0.0008123972,1,4,0.7419354838709677,False,0,4
1142,28,0.0008123972,1,4,0.7419354838709677,False,0,4
1141,28,0.0008123972,1,4,0.7419354838709677,False,0,4
1140,28,0.0008123972,1,4,0.7419354838709677,False,0,4
27,29,0.0007610046,2,5,1.5161290322580645,False,6,0
676,30,0.0007350752,1,3,0.1935483870967742,False,3,1
1156,31,0.0007209065000000001,2,5,0.5483870967741935,False,2,3
524,32,0.000710323,1,3,0.7741935483870968,False,0,3
1056,33,0.0006895673000000001,2,5,0.6129032258064516,False,3,2
1055,33,0.0006895673000000001,2,5,0.6129032258064516,False,3,2
636,34,0.0006766329,2,6,0.8387096774193549,False,3,4
1137,35,0.0006708811,2,5,0.45161290322580644,False,3,2
1200,36,0.0006657950000000001,1,3,0.0967741935483871,False,3,0
1171,37,0.0006478428000000001,1,3,0.12903225806451613,False,3,0
571,38,0.0006469922,1,3,0.8709677419354839,False,0,3
570,38,0.0006469922,1,3,0.8709677419354839,False,0,3
924,39,0.000642148,1,4,0.1935483870967742,False,0,4
923,39,0.000642148,1,4,0.1935483870967742,False,0,4
453,40,0.0006096885999999999,1,3,0.16129032258064516,False,3,0
1167,41,0.000601707,1,3,0.3870967741935484,False,3,0
1154,42,0.0006006678,1,3,0.8709677419354839,False,3,0
588,43,0.0005978209999999999,3,7,0.7096774193548387,False,5,2
736,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
735,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
734,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
733,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
732,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
731,44,0.0005821768000000001,1,3,0.9032258064516129,False,0,3
