block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
206,2,61691.541666666664,275.91755700551005,0.0012394383000000001,1,4,False
208,2,21804.5,36.54563357411297,0.0012394383000000001,1,4,False
207,2,10131.75,11.583932838203095,0.0012394383000000001,1,4,False
190,2,29788.0,32.91480845128246,0.0011982957,1,4,False
143,1,10104.96,18.195559897953128,0.0011730992,1,4,False
229,2,21781.6,42.51587938641279,0.0011263723,1,4,False
240,2,9147.91304347826,12.200901760964982,0.0008123972,1,4,False
223,2,24901.105263157893,37.594645106985936,0.0006895673000000001,2,5,False
131,1,12317.0,16.354861096367692,0.0006469922,1,3,False
195,2,5524.333333333333,4.714045207910317,0.000642148,1,4,False
152,2,49677.46428571428,47.84534769356753,0.0005821768000000001,1,3,False
242,2,8326.823529411764,3.485014880846735,0.0005276364,1,3,False
151,2,11741.777777777777,104.1709184317465,0.0005265822,1,3,False
104,1,5706.285714285715,11.547594501692124,0.0005205638,1,3,False
105,1,3419.214285714286,7.0323596063236895,0.0005205638,1,3,False
196,2,9866.481481481482,72.15126618861257,0.00048040400000000003,1,3,False
197,2,5225.444444444444,2.832788618662658,0.00048040400000000003,1,3,False
109,1,29612.708333333332,69.29494880981987,0.00047001139999999997,1,3,False
110,1,4330.375,2.4119926064010504,0.00047001139999999997,1,3,False
193,2,23219.185185185186,7.630528533885919,0.00044344440000000006,1,3,False
191,2,13812.25925925926,2.9261603281635082,0.00044344440000000006,1,3,False
192,2,7870.0,0.0,0.00044344440000000006,1,3,False
181,2,35618.88461538462,61.06196532594947,0.0004227832,1,3,False
180,2,19373.846153846152,33.94530930288659,0.0004227832,1,3,False
179,2,9495.115384615385,20.560093764895672,0.0004227832,1,3,False
182,2,28436.23076923077,15.423028965971863,0.0004227832,1,3,False
178,2,3896.1923076923076,1.4681026679994087,0.0004227832,1,3,False
177,2,4240.615384615385,0.4865042554105199,0.0004227832,1,3,False
194,2,3914.3636363636365,649.4564542372439,0.0003014926,1,3,False
189,2,25656.071428571428,21.44915677901144,0.0002946986,1,3,False
188,2,6152.571428571428,5.080976926793927,0.0002946986,1,3,False
220,2,19856.761904761905,77.55299555904597,0.0002764786,1,3,False
221,2,24762.85714285714,49.04641699867753,0.0002764786,1,3,False
222,2,17301.619047619046,5.205090827405604,0.0002764786,1,3,False
150,2,20609.55172413793,36.544338876546945,0.00026427030000000004,1,2,False
225,2,29587.947368421053,32.07634590721023,0.00026379029999999996,1,2,False
227,2,13689.263157894737,23.16949470240003,0.00026379029999999996,1,2,False
228,2,6860.421052631579,0.7480352843974681,0.00026379029999999996,1,2,False
184,2,5929.56,21.621433809995118,0.000235993,1,2,False
