block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent,insertions_count,deletions_count
260,0,0.42134495569999997,2,23,0.41975308641975306,False,10,13
259,0,0.42134495569999997,2,23,0.41975308641975306,False,10,13
427,1,0.2605039030999999,2,19,0.35802469135802467,False,10,9
256,2,0.2067973882,2,13,0.20987654320987653,False,11,2
535,3,0.19781755409999996,2,16,0.5925925925925926,False,6,10
257,4,0.19775604499999996,2,13,0.37037037037037035,False,10,3
261,5,0.163475223,1,10,0.16049382716049382,False,10,1
398,6,0.1551806393,2,13,0.5185185185185185,False,4,9
530,7,0.152280845,2,13,0.3950617283950617,False,3,10
509,8,0.1511099352,1,10,0.14814814814814814,False,10,0
525,9,0.14962088669999998,2,12,0.41975308641975306,False,2,10
524,9,0.14962088669999998,2,12,0.41975308641975306,False,2,10
190,10,0.14010063879999995,2,14,0.24691358024691357,False,9,5
508,8,0.1243579866,1,9,0.13580246913580246,False,9,0
511,8,0.122700513,1,9,0.13580246913580246,False,9,0
510,8,0.122700513,1,9,0.13580246913580246,False,9,0
507,8,0.122700513,1,9,0.13580246913580246,False,9,0
533,7,0.12042396520000001,2,12,0.4074074074074074,False,3,9
532,7,0.12042396520000001,2,12,0.4074074074074074,False,3,9
531,7,0.12042396520000001,2,12,0.4074074074074074,False,3,9
529,7,0.12042396520000001,2,12,0.4074074074074074,False,3,9
528,7,0.12042396520000001,2,12,0.4074074074074074,False,3,9
299,11,0.1160505072,1,8,0.1111111111111111,False,8,0
267,12,0.10933418,1,9,0.1728395061728395,False,9,1
423,13,0.10890067699999997,1,8,0.2962962962962963,False,8,0
543,14,0.08846832599999997,1,7,0.08641975308641975,False,7,0
312,15,0.081198568,1,7,0.09876543209876543,False,7,0
196,16,0.079920876,1,7,0.6419753086419753,False,1,7
129,17,0.07733163800000002,1,7,0.13580246913580246,False,7,0
59,18,0.076662708,1,7,0.1111111111111111,False,7,0
526,19,0.07488147799999999,2,11,0.7901234567901234,False,4,7
552,20,0.067170264,1,6,0.08641975308641975,False,6,0
456,12,0.064750146,1,7,0.12345679012345678,False,7,0
433,21,0.06128517199999999,1,7,0.14814814814814814,False,7,1
432,21,0.06128517199999999,1,7,0.14814814814814814,False,7,1
313,22,0.0565025588,2,9,0.13580246913580246,False,6,3
512,23,0.053577675,2,10,0.7777777777777778,False,4,6
60,24,0.050887540999999994,1,6,0.08641975308641975,False,6,0
275,25,0.04639455099999999,2,9,0.30864197530864196,False,5,4
572,26,0.0442981032,1,5,0.06172839506172839,False,5,0
281,27,0.03808676999999999,2,7,0.14814814814814814,False,5,2
304,28,0.037779092,1,5,0.13580246913580246,False,5,0
303,29,0.036853736,1,5,0.08641975308641975,False,5,1
16,30,0.036456804,1,5,0.9012345679012346,False,0,5
15,30,0.036456804,1,5,0.8888888888888888,False,0,5
193,31,0.036086341999999993,1,5,0.7407407407407407,False,1,5
192,31,0.036086341999999993,1,5,0.7407407407407407,False,1,5
323,32,0.0348908087,2,7,0.13580246913580246,False,5,2
308,33,0.034342094,1,5,0.07407407407407407,False,5,0
559,34,0.034020770799999996,1,5,0.07407407407407407,False,5,0
287,35,0.027278052000000004,1,4,0.04938271604938271,False,4,0
293,36,0.027161692999999997,1,4,0.04938271604938271,False,4,0
292,36,0.027161692999999997,1,4,0.04938271604938271,False,4,0
537,37,0.025561591,1,4,0.06172839506172839,False,4,0
536,37,0.025561591,1,4,0.06172839506172839,False,4,0
571,26,0.025278067,1,4,0.04938271604938271,False,4,0
317,38,0.023230194000000003,1,4,0.04938271604938271,False,4,0
316,38,0.023230194000000003,1,4,0.04938271604938271,False,4,0
295,39,0.022989656000000004,1,4,0.04938271604938271,False,4,0
615,40,0.0229877309,1,4,0.08641975308641975,False,4,0
560,14,0.022397915,1,4,0.04938271604938271,False,4,0
262,41,0.022285271000000002,1,4,0.04938271604938271,False,4,0
305,28,0.021829244999999997,1,4,0.1111111111111111,False,4,0
218,42,0.021546981,1,4,0.04938271604938271,False,4,0
216,42,0.021546981,1,4,0.04938271604938271,False,4,0
215,42,0.021546981,1,4,0.04938271604938271,False,4,0
214,42,0.021546981,1,4,0.04938271604938271,False,4,0
550,43,0.021292306,1,4,0.07407407407407407,False,4,0
110,44,0.019703996,1,4,0.09876543209876543,False,4,0
542,45,0.019667306,1,4,0.06172839506172839,False,4,0
300,46,0.018483202,1,4,0.09876543209876543,False,4,1
255,47,0.0131562234,1,3,0.037037037037037035,False,3,0
254,47,0.0131562234,1,3,0.037037037037037035,False,3,0
271,48,0.012792595199999998,1,3,0.037037037037037035,False,3,0
645,49,0.012372227999999999,1,3,0.037037037037037035,False,3,0
636,50,0.012257175999999998,1,3,0.037037037037037035,False,3,0
565,51,0.0121184306,1,3,0.06172839506172839,False,3,0
562,51,0.0121184306,1,3,0.06172839506172839,False,3,0
612,52,0.012106734000000001,1,3,0.037037037037037035,False,3,0
527,53,0.011624994,1,3,0.08641975308641975,False,3,0
61,24,0.011527465999999998,1,3,0.037037037037037035,False,3,0
290,36,0.01143158,1,3,0.037037037037037035,False,3,0
289,36,0.01143158,1,3,0.037037037037037035,False,3,0
646,39,0.011316662000000002,1,3,0.037037037037037035,False,3,0
286,54,0.011189687200000001,1,3,0.08641975308641975,False,3,1
285,54,0.011189687200000001,1,3,0.08641975308641975,False,3,1
284,54,0.011189687200000001,1,3,0.08641975308641975,False,3,1
