id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,346h–347t,10014,0.09527539539999999,1,7,0.09527539539999999,7,False
2,253h–254t,19972,0.09527539539999999,1,7,0.09527539539999999,7,False
3,184h–188t,8227,0.00273142,1,2,0.007809271999999999,3,False
4,141h–142t,17517,0.00273142,1,2,0.007809271999999999,3,False
5,335h–336t,15122,0,0,0,0.004600939,2,False
6,131h–132t,6612,0,0,0,0.004540552999999999,2,False
7,38h–39t,10539,0,0,0,0.004317842,2,False
8,71h–72t,14876,0,0,0,0,1,True
9,46h–47t,10333,0,0,0,0,1,True
10,41h–42t,18032,0,0,0,0,1,True
11,337h–338t,25281,0,0,0,0,1,True
12,332h–333t,3496,0,0,0,0,0,True
13,331h–332t,26452,0,0,0,0,0,True
14,321h–324t,16176,0,0,0,0,0,True
15,318h–319t,26128,0,0,0,0,0,True
16,316h–317t,1,0,0,0,0,0,True
17,315h–316t,9546,0,0,0,0,0,True
18,294h–296t,11069,0,0,0,0,0,True
19,293h–294t,40942,0,0,0,0,0,True
20,276h–277t,509,0,0,0,0,1,True
21,275h–276t,6314,0,0,0,0,1,True
22,243h–244t,28903,0,0,0,0,0,True
23,235h–236t,52830,0,0,0,0,0,True
24,172h–173t,3029,0,0,0,0,0,True
25,169h–171t,23180,0,0,0,0,0,True
26,168h–169t,15932,0,0,0,0,0,True
27,166h–168t,8844,0,0,0,0,0,True
28,14h–18t,35845,0,0,0,0,0,True
29,13h–14t,2667,0,0,0,0,0,True
30,136h–137t,8473,0,0,0,0,1,True
31,121h–122t,27373,0,0,0,0,0,True
32,119h–120t,1834,0,0,0,0,0,True
