mean_length,genomes,chroms
5453.691358024691,81,1
13475.691358024691,81,1
11174.246913580248,81,1
4991.617283950617,81,1
8846.134146341463,81,1
7026.085365853659,81,1
14934.691358024691,81,1
12713.333333333334,81,1
7132.567901234568,81,1
5351.555555555556,81,1
11540.012345679012,81,1
29137.395061728395,81,1
16879.913580246914,81,1
26387.320987654322,81,1
8127.944444444444,72,1
5724.958904109589,72,1
15008.451219512195,81,1
13017.670731707318,81,1
32210.555555555555,81,1
17255.74074074074,81,1
6063.753086419753,81,1
7558.83950617284,81,1
49839.32098765432,81,1
12920.172839506173,81,1
5944.641975308642,81,1
20115.20987654321,81,1
9502.283950617284,81,1
11491.604938271605,81,1
37288.38271604938,81,1
11080.851851851852,81,1
5759.901234567901,81,1
9635.839506172839,81,1
6534.518518518518,81,1
5330.0123456790125,81,1
10385.086419753086,81,1
46885.654320987655,81,1
13613.827160493827,81,1
4437.0,81,1
13958.172839506173,81,1
21743.79012345679,81,1
22920.506172839505,81,"1,2"
20509.604938271605,81,"1,2"
42775.59259259259,81,"1,2"
3110.3333333333335,9,1
5865.617283950617,81,"1,2"
47112.72839506173,81,"1,2"
9294.95061728395,81,"1,2"
17359.814814814814,81,"1,2"
12481.617283950618,81,"1,2"
8667.481481481482,81,1
5600.444444444444,81,1
5195.123456790124,81,1
3763.4691358024693,81,1
9152.716049382716,81,1
3437.6543209876545,81,1
4607.592592592592,81,1
33518.01234567901,81,1
8530.691358024691,81,1
12237.888888888889,81,1
5415.0,2,1
3575.0,9,1
5387.428571428572,7,1
12557.0,3,1
7786.938271604939,81,1
15579.024691358025,81,1
3672.320987654321,81,1
12057.32098765432,81,1
15659.345679012345,81,1
31021.35802469136,81,1
9588.197530864198,81,1
5811.506172839506,81,1
14489.185185185184,81,1
5346.580246913581,81,1
15452.728395061727,81,1
8821.481481481482,81,1
29947.666666666668,81,1
5119.666666666667,81,1
3322.9753086419755,81,1
17118.30864197531,81,1
4168.382716049383,81,1
13722.358024691359,81,1
4379.222222222223,81,1
12151.222222222223,81,1
12244.975308641975,81,1
6914.074074074074,81,1
3906.8395061728397,81,1
10473.333333333334,81,1
20475.493827160495,81,1
3783.4814814814813,81,1
6437.814814814815,81,1
6002.641975308642,81,1
4519.962962962963,81,1
32719.654320987655,81,1
20280.296296296296,81,1
5758.0123456790125,81,1
4602.802469135802,81,1
14978.271604938273,81,1
25793.11111111111,81,1
15237.0,81,1
13116.543209876543,81,1
