strain,character_state,character_state_annotation
BUMA.1121.00001,1,chromosomes: 1
BUMA.1121.00009,1,chromosomes: 1
BUMA.1121.00011,1,chromosomes: 1
BUMA.1121.00012,1,chromosomes: 1
BUMA.1121.00027,1,chromosomes: 1
BUMA.1121.00029,1,chromosomes: 1
BUMA.1121.00033,1,chromosomes: 1
BUMA.1121.00035,1,chromosomes: 1
BUMA.1121.00041,1,chromosomes: 1
BUMA.1121.00045,1,chromosomes: 1
BUMA.1121.00053,1,chromosomes: 1
BUMA.1121.00055,1,chromosomes: 1
BUMA.1121.00060,1,chromosomes: 1
BUMA.1121.00061,1,chromosomes: 1
BUMA.1121.00063,1,chromosomes: 1
BUMA.1121.00064,1,chromosomes: 1
BUMA.1121.00065,1,chromosomes: 1
BUMA.1121.00067,1,chromosomes: 1
BUMA.1121.00068,1,chromosomes: 1
BUMA.1121.00071,1,chromosomes: 1
BUMA.1121.00073,1,chromosomes: 1
BUMA.1121.00074,1,chromosomes: 1
BUMA.1121.00079,1,chromosomes: 1
BUMA.1121.00082,1,chromosomes: 1
BUMA.1121.00083,1,chromosomes: 1
BUMA.1121.00088,1,chromosomes: 1
BUMA.1121.00092,2,"chromosomes: 1, 1"
BUMA.1121.00093,2,"chromosomes: 1, 1"
BUMA.1121.00098,1,chromosomes: 1
BUMA.1121.00099,1,chromosomes: 1
BUMA.1121.00003,0,no copies
BUMA.1121.00100,0,no copies
BUMA.1121.00096,0,no copies
BUMA.1121.00077,0,no copies
BUMA.1121.00110,0,no copies
BUMA.1121.00109,0,no copies
BUMA.1121.00095,0,no copies
BUMA.1121.00103,0,no copies
BUMA.1121.00101,0,no copies
BUMA.1121.00108,0,no copies
BUMA.1121.00107,0,no copies
BUMA.1121.00112,0,no copies
BUMA.1121.00007,0,no copies
BUMA.1121.00097,0,no copies
BUMA.1121.00057,0,no copies
BUMA.1121.00047,0,no copies
BUMA.1121.00056,0,no copies
BUMA.1121.00089,0,no copies
BUMA.1121.00094,0,no copies
BUMA.1121.00051,0,no copies
BUMA.1121.00080,0,no copies
BUMA.1121.00049,0,no copies
BUMA.1121.00104,0,no copies
BUMA.1121.00106,0,no copies
BUMA.1121.00058,0,no copies
BUMA.1121.00059,0,no copies
BUMA.1121.00062,0,no copies
BUMA.1121.00105,0,no copies
BUMA.1121.00084,0,no copies
BUMA.1121.00075,0,no copies
BUMA.1121.00076,0,no copies
BUMA.1121.00072,0,no copies
BUMA.1121.00070,0,no copies
BUMA.1121.00066,0,no copies
BUMA.1121.00069,0,no copies
BUMA.1121.00078,0,no copies
BUMA.1121.00102,0,no copies
BUMA.1121.00005,0,no copies
BUMA.1121.00091,0,no copies
BUMA.1121.00023,0,no copies
BUMA.1121.00014,0,no copies
BUMA.1121.00031,0,no copies
BUMA.1121.00037,0,no copies
BUMA.1121.00039,0,no copies
BUMA.1121.00090,0,no copies
BUMA.1121.00018,0,no copies
BUMA.1121.00025,0,no copies
BUMA.1121.00016,0,no copies
BUMA.1121.00043,0,no copies
BUMA.1121.00111,0,no copies
BUMA.1121.00021,0,no copies
