block,species,chr,chr_beg,chr_end,orientation
330,BUMA.1121.00027,1,859570,862956,+
330,BUMA.1121.00025,1,4096323,4099632,-
330,BUMA.1121.00021,1,3316684,3320098,+
330,BUMA.1121.00023,1,1035586,1038992,+
330,BUMA.1121.00024,1,2850609,2853934,+
330,BUMA.1121.00033,1,905616,909085,+
330,BUMA.1121.00034,1,2889372,2892697,+
330,BUMA.1121.00036,1,1257364,1260680,-
330,BUMA.1121.00032,1,919017,922342,+
330,BUMA.1121.00009,1,2859762,2863071,-
330,BUMA.1121.00008,1,2863623,2866948,+
330,BUMA.1121.00003,1,1207386,1210698,+
330,BUMA.1121.00109,1,3192345,3195648,-
330,BUMA.1121.00053,1,2477714,2481157,+
330,BUMA.1121.00110,1,2100718,2104021,-
330,BUMA.1121.00104,1,2528471,2531781,-
330,BUMA.1121.00086,1,1538302,1541627,+
330,BUMA.1121.00092,1,1059454,1062770,-
330,BUMA.1121.00096,1,557567,560880,-
330,BUMA.1121.00054,1,2295709,2299025,-
330,BUMA.1121.00097,1,1208502,1211811,-
330,BUMA.1121.00093,1,3563375,3566691,+
330,BUMA.1121.00106,1,2459573,2462980,+
330,BUMA.1121.00010,1,2384087,2387397,-
330,BUMA.1121.00035,1,3869556,3872908,+
330,BUMA.1121.00108,1,3757081,3760520,+
330,BUMA.1121.00028,1,2851932,2855257,+
330,BUMA.1121.00094,1,2701597,2705024,+
330,BUMA.1121.00102,1,2571472,2574786,-
330,BUMA.1121.00111,1,2887318,2890625,+
330,BUMA.1121.00089,1,2672624,2676051,+
330,BUMA.1121.00084,1,3085099,3088431,+
330,BUMA.1121.00029,1,2251191,2254500,-
330,BUMA.1121.00012,1,1449421,1452829,+
330,BUMA.1121.00087,1,1775252,1778568,-
330,BUMA.1121.00043,1,2789645,2793136,+
330,BUMA.1121.00046,1,3406184,3409500,+
330,BUMA.1121.00037,1,1319598,1322959,+
330,BUMA.1121.00080,1,2717650,2721100,+
330,BUMA.1121.00079,1,2752093,2755560,+
330,BUMA.1121.00045,1,1341325,1344632,-
330,BUMA.1121.00071,1,2648179,2651503,+
330,BUMA.1121.00056,1,1250641,1253944,-
330,BUMA.1121.00065,1,2775782,2779127,+
330,BUMA.1121.00058,1,1806010,1809319,-
330,BUMA.1121.00007,1,1341131,1344440,-
330,BUMA.1121.00067,1,1699703,1703012,-
330,BUMA.1121.00090,1,793783,797180,+
330,BUMA.1121.00051,1,2685841,2689279,+
330,BUMA.1121.00020,1,2916829,2920154,+
330,BUMA.1121.00103,1,1690559,1693866,-
330,BUMA.1121.00048,1,1636683,1640008,+
330,BUMA.1121.00047,1,232803,236106,-
330,BUMA.1121.00042,1,2292012,2295355,+
330,BUMA.1121.00055,1,2396572,2399936,+
330,BUMA.1121.00031,1,47125,50495,+
330,BUMA.1121.00040,1,2861963,2865288,+
330,BUMA.1121.00044,1,2117470,2120795,+
330,BUMA.1121.00088,1,3630636,3633959,+
330,BUMA.1121.00069,1,2628710,2632068,+
330,BUMA.1121.00064,1,2725744,2729276,+
330,BUMA.1121.00105,1,2480465,2483774,-
330,BUMA.1121.00015,1,1199498,1202814,-
330,BUMA.1121.00059,1,1948322,1951628,+
330,BUMA.1121.00026,1,2522110,2525426,-
330,BUMA.1121.00022,1,3269054,3272379,+
330,BUMA.1121.00052,1,2663378,2666712,+
