strain,character_state,character_state_annotation
BUMA.1121.00046,3,3 copies
BUMA.1121.00081,6,6 copies
BUMA.1121.00048,3,3 copies
BUMA.1121.00028,9,9 copies
BUMA.1121.00054,6,6 copies
BUMA.1121.00087,3,3 copies
BUMA.1121.00022,2,2 copies
BUMA.1121.00086,4,4 copies
BUMA.1121.00020,10,10 copies
BUMA.1121.00026,0,0 copies
BUMA.1121.00002,1,1 copies
BUMA.1121.00042,0,0 copies
BUMA.1121.00017,8,8 copies
BUMA.1121.00038,6,6 copies
BUMA.1121.00008,9,9 copies
BUMA.1121.00052,5,5 copies
BUMA.1121.00034,9,9 copies
BUMA.1121.00050,2,2 copies
BUMA.1121.00024,9,9 copies
BUMA.1121.00032,7,7 copies
BUMA.1121.00044,9,9 copies
BUMA.1121.00004,9,9 copies
BUMA.1121.00040,3,3 copies
BUMA.1121.00030,8,8 copies
BUMA.1121.00015,5,5 copies
BUMA.1121.00010,2,2 copies
BUMA.1121.00036,3,3 copies
BUMA.1121.00006,6,6 copies
BUMA.1121.00085,5,5 copies
BUMA.1121.00019,9,9 copies
BUMA.1121.00013,5,5 copies
