genome,chr/contig,covered,size,coverage
BUMA.1121.00001,1,3265974,4090941,0.7983429729248112
BUMA.1121.00001,2,2573012,3190202,0.8065357616853102
BUMA.1121.00002,1,2931399,3531732,0.8300173965634992
BUMA.1121.00002,2,1704126,2093516,0.8140018991973312
BUMA.1121.00003,1,3227892,3915206,0.8244501055627724
BUMA.1121.00003,2,2576102,3127446,0.8237079073467616
BUMA.1121.00004,1,3014024,3623658,0.8317628208843109
BUMA.1121.00004,2,1715899,2105259,0.8150536347309286
BUMA.1121.00005,1,3302927,4059297,0.8136697068482548
BUMA.1121.00005,2,2603470,3254339,0.799999631261525
BUMA.1121.00006,1,2913673,3510064,0.8300911322414634
BUMA.1121.00006,2,1887803,2325357,0.811833623826363
BUMA.1121.00007,1,3304579,4054214,0.8150973283600718
BUMA.1121.00007,2,2554506,3236633,0.7892479623114514
BUMA.1121.00008,1,2947487,3558359,0.8283276083160805
BUMA.1121.00008,2,1715857,2104758,0.8152276888839477
BUMA.1121.00009,1,3277357,3976360,0.8242103330684345
BUMA.1121.00009,2,2592549,3272138,0.7923104098910254
BUMA.1121.00010,1,2930759,3533279,0.8294728494409866
BUMA.1121.00010,2,1703918,2096906,0.8125867349323241
BUMA.1121.00011,1,3345596,4067698,0.8224789549273324
BUMA.1121.00011,2,2578970,3249682,0.793606882150315
BUMA.1121.00012,1,3330635,4195070,0.7939402679812256
BUMA.1121.00012,2,2580545,3286818,0.7851195289790917
BUMA.1121.00013,1,2958324,3560387,0.8308995623228599
BUMA.1121.00013,2,1729109,2125937,0.8133397179690649
BUMA.1121.00014,1,3373141,4224888,0.7983977326736236
BUMA.1121.00014,2,2599351,3273436,0.7940741777141817
BUMA.1121.00015,1,2940258,3542895,0.8299026643465302
BUMA.1121.00015,2,1819761,2237484,0.8133068214119074
BUMA.1121.00016,1,3275399,4056414,0.8074617137205423
BUMA.1121.00016,2,2588135,3263222,0.7931225641405948
BUMA.1121.00017,1,2880396,3471439,0.8297412110654976
BUMA.1121.00017,2,1722869,2120545,0.812465191731371
BUMA.1121.00018,1,3355264,4149734,0.8085491744772074
BUMA.1121.00018,2,2495505,3084746,0.8089823278804803
BUMA.1121.00019,1,2922106,3512311,0.8319610649512529
BUMA.1121.00019,2,1769547,2185884,0.8095338087473992
BUMA.1121.00020,1,3015046,3625803,0.8315526243428008
BUMA.1121.00020,2,1715941,2106729,0.8145048556316451
BUMA.1121.00021,1,3261713,4047168,0.8059247849360343
BUMA.1121.00021,2,2546046,3138916,0.8111226933119586
BUMA.1121.00022,1,2950442,3559874,0.8288051768124377
BUMA.1121.00022,2,1902404,2353251,0.8084152519217032
BUMA.1121.00023,1,3275275,4099156,0.7990120405273671
BUMA.1121.00023,2,2592562,3245729,0.7987610795602467
BUMA.1121.00024,1,2904576,3507313,0.8281485000055598
BUMA.1121.00024,2,1827422,2240444,0.8156517190342628
BUMA.1121.00025,1,3354967,4191510,0.8004196578321416
BUMA.1121.00025,2,2495495,3078971,0.8104964288393752
BUMA.1121.00026,1,2952085,3550588,0.831435525608716
BUMA.1121.00026,2,1514424,1858520,0.8148548307255236
BUMA.1121.00027,1,3267118,4012048,0.8143267478355194
BUMA.1121.00027,2,2555121,3188795,0.8012810481702336
BUMA.1121.00028,1,2964529,3578521,0.8284229713895769
BUMA.1121.00028,2,1745413,2146701,0.8130675860308445
BUMA.1121.00029,1,3264730,4062495,0.803626835233028
BUMA.1121.00029,2,2571062,3267789,0.7867894775335862
BUMA.1121.00030,1,2880506,3471518,0.8297540153903854
BUMA.1121.00030,2,1722748,2120306,0.812499705231226
BUMA.1121.00031,1,3310375,4077668,0.811830438378014
BUMA.1121.00031,2,2596597,3265896,0.7950642029017458
