genome,core,chr/contig,type,covered,"chr,core"
BUMA.1121.00001,all,1,gene,11.694931660949134,"1,all"
BUMA.1121.00001,all,1,"block, gene",72.18920606239271,"1,all"
BUMA.1121.00001,all,1,block,12.622545604589277,"1,all"
BUMA.1121.00001,all,2,gene,12.330690372339342,"2,all"
BUMA.1121.00001,all,2,"block, gene",70.44324320935605,"2,all"
BUMA.1121.00001,all,2,block,13.911483009872313,"2,all"
BUMA.1121.00003,all,1,gene,9.195437234388445,"1,all"
BUMA.1121.00003,all,1,"block, gene",74.67568540200554,"1,all"
BUMA.1121.00003,all,1,block,13.186822729644568,"1,all"
BUMA.1121.00003,all,2,block,13.883867947664827,"2,all"
BUMA.1121.00003,all,2,"block, gene",72.12479659992128,"2,all"
BUMA.1121.00003,all,2,gene,11.07017618467656,"2,all"
BUMA.1121.00005,all,1,block,13.054434391191327,"1,all"
BUMA.1121.00005,all,1,"block, gene",73.69158804830029,"1,all"
BUMA.1121.00005,all,1,gene,10.005882828250977,"1,all"
BUMA.1121.00005,all,2,block,13.661176662910657,"2,all"
BUMA.1121.00005,all,2,"block, gene",69.99012702733182,"2,all"
BUMA.1121.00005,all,2,gene,13.010261069913124,"2,all"
BUMA.1121.00007,all,1,gene,10.460875834523646,"1,all"
BUMA.1121.00007,all,1,"block, gene",73.54081226680387,"1,all"
BUMA.1121.00007,all,1,block,12.91804494976764,"1,all"
BUMA.1121.00007,all,2,gene,13.875558024507505,"2,all"
BUMA.1121.00007,all,2,"block, gene",69.14084694595417,"2,all"
BUMA.1121.00007,all,2,block,13.526801396880284,"2,all"
BUMA.1121.00009,all,1,block,13.150796205574947,"1,all"
BUMA.1121.00009,all,1,"block, gene",74.72809302980615,"1,all"
BUMA.1121.00009,all,1,gene,9.111649850617146,"1,all"
BUMA.1121.00009,all,2,block,13.769974661400704,"2,all"
BUMA.1121.00009,all,2,"block, gene",69.22449705585096,"2,all"
BUMA.1121.00009,all,2,gene,13.408645196347402,"2,all"
BUMA.1121.00011,all,1,block,13.191515200980996,"1,all"
BUMA.1121.00011,all,1,"block, gene",74.3065733985168,"1,all"
BUMA.1121.00011,all,1,gene,9.469336219158846,"1,all"
BUMA.1121.00011,all,2,block,13.599560811133093,"2,all"
BUMA.1121.00011,all,2,"block, gene",69.35528292939466,"2,all"
BUMA.1121.00011,all,2,gene,13.324729268928404,"2,all"
BUMA.1121.00012,all,1,gene,12.044123431186755,"1,all"
BUMA.1121.00012,all,1,"block, gene",72.04679324441902,"1,all"
BUMA.1121.00012,all,1,block,12.37603842624045,"1,all"
BUMA.1121.00012,all,2,block,13.515868539115946,"2,all"
BUMA.1121.00012,all,2,"block, gene",68.59360633901846,"2,all"
BUMA.1121.00012,all,2,gene,14.415644553486077,"2,all"
BUMA.1121.00014,all,1,gene,11.886161242617556,"1,all"
BUMA.1121.00014,all,1,"block, gene",72.18856452526079,"1,all"
BUMA.1121.00014,all,1,block,12.35232744631337,"1,all"
BUMA.1121.00014,all,2,block,13.921256369077966,"2,all"
BUMA.1121.00014,all,2,"block, gene",69.60783984275835,"2,all"
BUMA.1121.00014,all,2,gene,13.251653539265964,"2,all"
BUMA.1121.00016,all,1,block,12.813065924730562,"1,all"
BUMA.1121.00016,all,1,"block, gene",73.29747407439181,"1,all"
BUMA.1121.00016,all,1,gene,10.647680438929557,"1,all"
BUMA.1121.00016,all,2,block,13.774821326897158,"2,all"
BUMA.1121.00016,all,2,"block, gene",69.44961145763298,"2,all"
BUMA.1121.00016,all,2,gene,13.32872847755991,"2,all"
BUMA.1121.00018,all,1,block,12.87102252956083,"1,all"
BUMA.1121.00018,all,1,"block, gene",73.57837150593241,"1,all"
