strain,character_state,character_state_annotation
BUMA.1121.00001,3,"chromosomes: 1, 2"
BUMA.1121.00002,3,"chromosomes: 1, 2"
BUMA.1121.00003,3,"chromosomes: 1, 2"
BUMA.1121.00004,1,"chromosomes: 1, 1, 1, 2"
BUMA.1121.00005,3,"chromosomes: 1, 2"
BUMA.1121.00006,3,"chromosomes: 1, 2"
BUMA.1121.00007,3,"chromosomes: 1, 2"
BUMA.1121.00008,3,"chromosomes: 1, 2"
BUMA.1121.00009,3,"chromosomes: 1, 2"
BUMA.1121.00010,3,"chromosomes: 1, 2"
BUMA.1121.00011,3,"chromosomes: 1, 2"
BUMA.1121.00012,3,"chromosomes: 1, 2"
BUMA.1121.00013,3,"chromosomes: 1, 2"
BUMA.1121.00014,3,"chromosomes: 1, 2"
BUMA.1121.00015,3,"chromosomes: 1, 2"
BUMA.1121.00016,3,"chromosomes: 1, 2"
BUMA.1121.00017,3,"chromosomes: 1, 2"
BUMA.1121.00018,3,"chromosomes: 1, 2"
BUMA.1121.00019,3,"chromosomes: 1, 2"
BUMA.1121.00020,3,"chromosomes: 1, 2"
BUMA.1121.00021,3,"chromosomes: 1, 2"
BUMA.1121.00022,3,"chromosomes: 1, 2"
BUMA.1121.00023,3,"chromosomes: 1, 2"
BUMA.1121.00024,4,chromosomes: 2
BUMA.1121.00025,3,"chromosomes: 1, 2"
BUMA.1121.00026,3,"chromosomes: 1, 2"
BUMA.1121.00027,3,"chromosomes: 1, 2"
BUMA.1121.00028,3,"chromosomes: 1, 2"
BUMA.1121.00029,3,"chromosomes: 1, 2"
BUMA.1121.00030,3,"chromosomes: 1, 2"
BUMA.1121.00031,3,"chromosomes: 1, 2"
BUMA.1121.00032,3,"chromosomes: 1, 2"
BUMA.1121.00033,3,"chromosomes: 1, 2"
BUMA.1121.00034,3,"chromosomes: 1, 2"
BUMA.1121.00035,3,"chromosomes: 1, 2"
BUMA.1121.00036,3,"chromosomes: 1, 2"
BUMA.1121.00037,3,"chromosomes: 1, 2"
BUMA.1121.00038,3,"chromosomes: 1, 2"
BUMA.1121.00039,3,"chromosomes: 1, 2"
BUMA.1121.00040,3,"chromosomes: 1, 2"
BUMA.1121.00041,3,"chromosomes: 1, 2"
