Seq_id	Size	Description
1	4007587	BUMA.1121.00057.1
2	4058409	BUMA.1121.00058.1
3	4019507	BUMA.1121.00045.1
4	3987008	BUMA.1121.00051.1
5	4112209	BUMA.1121.00068.1
6	3859639	BUMA.1121.00061.1
7	4019514	BUMA.1121.00060.1
8	4006427	BUMA.1121.00064.1
9	4056414	BUMA.1121.00016.1
10	3915257	BUMA.1121.00003.1
11	4098323	BUMA.1121.00055.1
12	4067698	BUMA.1121.00011.1
13	4027449	BUMA.1121.00037.1
14	3976360	BUMA.1121.00009.1
15	3249627	BUMA.1121.00011.2
16	3272083	BUMA.1121.00009.2
17	3144330	BUMA.1121.00039.2
18	3267789	BUMA.1121.00029.2
19	3138893	BUMA.1121.00021.2
20	3850633	BUMA.1121.00069.1
21	3227179	BUMA.1121.00107.2
22	3245772	BUMA.1121.00023.2
23	3156645	BUMA.1121.00067.2
24	4140547	BUMA.1121.00088.1
25	3306537	BUMA.1121.00035.2
26	3254339	BUMA.1121.00005.2
27	4092668	BUMA.1121.00092.1
28	3108026	BUMA.1121.00100.2
29	3263222	BUMA.1121.00016.2
30	3267445	BUMA.1121.00099.2
31	3800466	BUMA.1121.00074.1
32	3153284	BUMA.1121.00094.2
33	3145454	BUMA.1121.00093.2
34	3842045	BUMA.1121.00070.1
35	3245118	BUMA.1121.00097.2
36	4092206	BUMA.1121.00093.1
37	3852886	BUMA.1121.00063.1
38	3327045	BUMA.1121.00109.2
39	3084746	BUMA.1121.00018.2
40	3255964	BUMA.1121.00110.2
41	4191431	BUMA.1121.00033.1
42	3112891	BUMA.1121.00079.2
43	3147867	BUMA.1121.00075.2
44	3103692	BUMA.1121.00066.2
45	3100794	BUMA.1121.00089.2
46	3139014	BUMA.1121.00057.2
47	4149748	BUMA.1121.00018.1
48	4013273	BUMA.1121.00080.1
49	4012023	BUMA.1121.00027.1
50	3260221	BUMA.1121.00090.2
51	3188791	BUMA.1121.00027.2
52	3225565	BUMA.1121.00062.2
53	4075626	BUMA.1121.00053.1
54	3244818	BUMA.1121.00091.2
55	4003938	BUMA.1121.00059.1
56	4177999	BUMA.1121.00043.1
57	3205965	BUMA.1121.00098.2
58	3138747	BUMA.1121.00092.2
59	3265909	BUMA.1121.00031.2
60	3361913	BUMA.1121.00096.2
61	3120069	BUMA.1121.00073.2
62	3390988	BUMA.1121.00103.2
63	3984251	BUMA.1121.00056.1
64	4228716	BUMA.1121.00112.1
65	3181729	BUMA.1121.00084.2
66	3273433	BUMA.1121.00014.2
67	4021777	BUMA.1121.00091.1
68	4091933	BUMA.1121.00047.1
69	4028032	BUMA.1121.00067.1
70	3212183	BUMA.1121.00111.2
71	3236641	BUMA.1121.00007.2
72	4008719	BUMA.1121.00110.1
73	3097831	BUMA.1121.00072.2
74	3119416	BUMA.1121.00071.2
75	3257149	BUMA.1121.00077.2
76	3127457	BUMA.1121.00003.2
77	3146578	BUMA.1121.00104.2
78	3363129	BUMA.1121.00074.2
79	3008316	BUMA.1121.00060.2
80	3866281	BUMA.1121.00073.1
