block,species,chr,chr_beg,chr_end,orientation
758,BUMA.1121.00112,1,348576,354775,+
758,BUMA.1121.00014,1,166988,173158,+
757,BUMA.1121.00112,1,336102,345004,+
757,BUMA.1121.00014,1,152698,161606,+
756,BUMA.1121.00112,1,321863,326094,+
756,BUMA.1121.00014,1,134876,139086,+
755,BUMA.1121.00112,1,312914,321604,+
755,BUMA.1121.00014,1,125956,134617,+
754,BUMA.1121.00112,1,298158,306626,+
754,BUMA.1121.00014,1,111465,119925,+
753,BUMA.1121.00067,2,1686487,1689503,+
753,BUMA.1121.00080,2,2295648,2298663,-
752,BUMA.1121.00083,1,2672246,2675273,+
752,BUMA.1121.00082,1,3104086,3107113,-
751,BUMA.1121.00083,1,1902095,1905720,+
751,BUMA.1121.00082,1,3873650,3877275,-
750,BUMA.1121.00083,1,1065240,1102343,+
750,BUMA.1121.00082,1,602484,639587,-
749,BUMA.1121.00083,1,832517,845929,+
749,BUMA.1121.00082,1,858891,872302,-
748,BUMA.1121.00091,1,1401467,1409651,+
748,BUMA.1121.00095,1,2599894,2608073,+
748,BUMA.1121.00041,1,338484,346668,-
748,BUMA.1121.00005,1,1819319,1827503,-
747,BUMA.1121.00091,1,1396013,1401465,+
747,BUMA.1121.00095,1,2592985,2598439,+
747,BUMA.1121.00041,1,346669,352121,-
747,BUMA.1121.00005,1,1827504,1832956,-
746,BUMA.1121.00091,1,1386799,1391925,+
746,BUMA.1121.00095,1,2583782,2588898,+
746,BUMA.1121.00041,1,356208,361335,-
746,BUMA.1121.00005,1,1837043,1842170,-
745,BUMA.1121.00099,1,844707,880986,+
745,BUMA.1121.00098,1,2293538,2329805,+
745,BUMA.1121.00005,1,181304,218161,-
744,BUMA.1121.00098,2,727717,731721,+
744,BUMA.1121.00100,2,1633585,1637589,+
743,BUMA.1121.00068,1,2910993,2914757,+
743,BUMA.1121.00041,2,1417685,1421460,+
742,BUMA.1121.00068,1,1344464,1351029,+
742,BUMA.1121.00107,1,2497865,2504441,+
741,BUMA.1121.00101,1,2673220,2677455,+
741,BUMA.1121.00068,1,2612701,2616936,-
740,BUMA.1121.00101,1,2590846,2594073,+
740,BUMA.1121.00068,1,2711072,2714323,-
740,BUMA.1121.00098,1,2562876,2566115,-
740,BUMA.1121.00103,2,3359943,3363206,-
740,BUMA.1121.00083,1,1805300,1808551,+
740,BUMA.1121.00070,1,3739127,3742378,-
740,BUMA.1121.00066,1,3751898,3755149,-
740,BUMA.1121.00082,1,3970819,3974070,-
739,BUMA.1121.00101,1,1695113,1701982,+
739,BUMA.1121.00107,1,628484,635355,-
738,BUMA.1121.00108,2,2612454,2621247,+
738,BUMA.1121.00078,2,766158,774951,-
738,BUMA.1121.00075,2,469908,478701,-
738,BUMA.1121.00076,2,118767,127560,+
738,BUMA.1121.00068,2,954661,963454,+
738,BUMA.1121.00100,2,394331,403124,+
738,BUMA.1121.00012,2,2563853,2572636,-
737,BUMA.1121.00108,2,2604001,2612452,+
737,BUMA.1121.00012,2,2572637,2581090,-
736,BUMA.1121.00105,1,643974,649941,+
736,BUMA.1121.00112,1,2514168,2520123,+
735,BUMA.1121.00016,2,2846838,2849861,+
735,BUMA.1121.00035,2,441426,445502,+
734,BUMA.1121.00031,1,1942478,1951302,+
734,BUMA.1121.00014,1,2268808,2277632,-
733,BUMA.1121.00031,1,1932477,1939849,+
733,BUMA.1121.00014,1,2278990,2286362,-
732,BUMA.1121.00031,1,1921406,1928373,+
732,BUMA.1121.00014,1,2290466,2297585,-
731,BUMA.1121.00031,1,1908934,1920240,+
731,BUMA.1121.00014,1,2298750,2308571,-
730,BUMA.1121.00055,1,2019344,2022513,+
730,BUMA.1121.00112,1,1627167,1630632,+
730,BUMA.1121.00057,1,3498543,3501725,+
729,BUMA.1121.00055,1,792281,796143,+
729,BUMA.1121.00041,1,2509405,2513269,+
728,BUMA.1121.00047,1,1837502,1843623,+
728,BUMA.1121.00088,1,2016062,2022183,-
727,BUMA.1121.00103,1,3201623,3205172,+
727,BUMA.1121.00011,1,381196,384745,+
726,BUMA.1121.00103,1,728954,733124,+
726,BUMA.1121.00091,1,874020,878191,+
725,BUMA.1121.00103,1,718819,728953,+
725,BUMA.1121.00091,1,863885,874019,+
725,BUMA.1121.00107,1,3589364,3599507,-
724,BUMA.1121.00067,1,3835506,3841840,+
724,BUMA.1121.00074,1,3311792,3318126,+
723,BUMA.1121.00067,1,3819479,3834338,+
723,BUMA.1121.00074,1,3295765,3310624,+
722,BUMA.1121.00067,1,2902444,2906830,+
722,BUMA.1121.00064,1,1511030,1515416,-
722,BUMA.1121.00074,1,2344822,2349208,+
721,BUMA.1121.00067,1,2895148,2898377,+
721,BUMA.1121.00064,1,1518149,1521372,-
721,BUMA.1121.00074,1,2338867,2342089,+
720,BUMA.1121.00091,2,3161405,3166721,+
720,BUMA.1121.00053,2,753871,757853,-
720,BUMA.1121.00078,2,2699118,2703099,+
720,BUMA.1121.00099,2,724198,728180,-
719,BUMA.1121.00007,1,2998888,3007432,+
719,BUMA.1121.00103,1,3192752,3201474,+
719,BUMA.1121.00055,1,796538,805065,-
719,BUMA.1121.00098,1,3944822,3953165,-
719,BUMA.1121.00083,1,370899,379232,+
719,BUMA.1121.00041,1,2515026,2523589,-
719,BUMA.1121.00082,1,1325594,1333927,-
719,BUMA.1121.00011,1,372704,381047,+
718,BUMA.1121.00007,1,573711,577890,+
718,BUMA.1121.00103,1,881679,885855,+
717,BUMA.1121.00007,1,564232,568331,+
717,BUMA.1121.00031,1,818051,822149,-
716,BUMA.1121.00058,1,1968088,1972893,+
716,BUMA.1121.00112,1,375382,380055,+
716,BUMA.1121.00014,1,195090,199767,+
715,BUMA.1121.00058,1,1945185,1951123,+
715,BUMA.1121.00112,1,356131,362059,+
715,BUMA.1121.00014,1,175455,181386,+
714,BUMA.1121.00058,1,1923394,1939149,+
714,BUMA.1121.00014,1,94940,110696,+
713,BUMA.1121.00058,1,1314799,1318944,+
713,BUMA.1121.00059,1,2426280,2430426,-
712,BUMA.1121.00058,1,1305935,1310529,+
712,BUMA.1121.00059,1,2434696,2439290,-
712,BUMA.1121.00005,1,1940601,1946603,+
711,BUMA.1121.00058,1,1301058,1304551,+
711,BUMA.1121.00059,1,2440673,2444166,-
710,BUMA.1121.00093,2,2418377,2426154,+
710,BUMA.1121.00092,2,518743,526520,-
709,BUMA.1121.00093,2,2409772,2417208,+
709,BUMA.1121.00092,2,527689,535125,-
336,BUMA.1121.00027,1,937480,948446,+
336,BUMA.1121.00025,1,4009991,4020911,-
336,BUMA.1121.00021,1,3396128,3407015,+
336,BUMA.1121.00023,1,1116470,1127421,+
336,BUMA.1121.00024,1,2976210,2987000,-
336,BUMA.1121.00033,1,985120,995989,+
336,BUMA.1121.00034,1,3084818,3095608,-
336,BUMA.1121.00036,1,1054393,1065183,+
336,BUMA.1121.00009,1,2774039,2784824,-
336,BUMA.1121.00008,1,3059023,3069813,-
336,BUMA.1121.00003,1,1284645,1295527,+
336,BUMA.1121.00109,1,3105897,3116814,-
336,BUMA.1121.00053,1,2557298,2568161,+
336,BUMA.1121.00110,1,2014059,2024815,-
336,BUMA.1121.00104,1,2442992,2453778,-
336,BUMA.1121.00086,1,1733818,1744602,-
336,BUMA.1121.00092,1,974698,985612,-
336,BUMA.1121.00096,1,472094,482977,-
336,BUMA.1121.00054,1,21613,32436,-
336,BUMA.1121.00097,1,1122320,1133157,-
336,BUMA.1121.00093,1,3640379,3651279,+
336,BUMA.1121.00106,1,2537501,2548387,+
336,BUMA.1121.00035,1,3950352,3961263,+
336,BUMA.1121.00108,1,3835036,3845965,+
336,BUMA.1121.00028,1,3047417,3058207,-
336,BUMA.1121.00094,1,2781645,2792480,+
336,BUMA.1121.00102,1,2484990,2495841,-
336,BUMA.1121.00111,1,2966613,2977556,+
336,BUMA.1121.00089,1,2752682,2763523,+
336,BUMA.1121.00084,1,3162915,3173790,+
336,BUMA.1121.00029,1,2163226,2174129,-
336,BUMA.1121.00012,1,1550039,1560885,+
336,BUMA.1121.00087,1,1572268,1583052,+
336,BUMA.1121.00043,1,2881770,2892627,+
336,BUMA.1121.00046,1,2090355,2101159,+
336,BUMA.1121.00037,1,1400366,1411243,+
336,BUMA.1121.00080,1,2796510,2807303,+
336,BUMA.1121.00079,1,2830912,2841730,+
336,BUMA.1121.00045,1,1256688,1267578,-
336,BUMA.1121.00071,1,2724318,2735068,+
336,BUMA.1121.00056,1,1163323,1174164,-
336,BUMA.1121.00065,1,2852894,2863821,+
336,BUMA.1121.00058,1,1721512,1732362,-
336,BUMA.1121.00007,1,1256277,1267213,-
336,BUMA.1121.00067,1,1613553,1624428,-
336,BUMA.1121.00090,1,873055,883971,+
336,BUMA.1121.00051,1,2764725,2775523,+
336,BUMA.1121.00020,1,3112230,3123020,-
336,BUMA.1121.00103,1,1605261,1616067,-
336,BUMA.1121.00048,1,393156,403979,+
336,BUMA.1121.00047,1,145310,156192,-
336,BUMA.1121.00042,1,1255195,1266018,-
336,BUMA.1121.00055,1,2476984,2487777,+
336,BUMA.1121.00031,1,126542,137408,+
336,BUMA.1121.00040,1,3059435,3070227,-
336,BUMA.1121.00044,1,2312988,2323778,-
336,BUMA.1121.00088,1,3708659,3719597,+
336,BUMA.1121.00069,1,2704794,2715625,+
336,BUMA.1121.00064,1,2804335,2815163,+
336,BUMA.1121.00105,1,2395904,2406797,-
336,BUMA.1121.00015,1,2580373,2591177,+
336,BUMA.1121.00059,1,2025497,2036337,+
336,BUMA.1121.00022,1,3465758,3476548,-
336,BUMA.1121.00101,1,3642807,3653671,-
336,BUMA.1121.00001,1,1278910,1289857,-
336,BUMA.1121.00038,1,600631,611454,+
336,BUMA.1121.00068,1,1568480,1579377,+
336,BUMA.1121.00099,1,3608835,3619853,-
336,BUMA.1121.00091,1,1713631,1724525,-
336,BUMA.1121.00098,1,1457772,1468696,+
336,BUMA.1121.00013,1,3110736,3121480,+
336,BUMA.1121.00049,1,3026510,3037332,-
336,BUMA.1121.00072,1,2706288,2717172,+
336,BUMA.1121.00076,1,2512892,2523741,-
336,BUMA.1121.00083,1,2875593,2886493,-
336,BUMA.1121.00078,1,3204233,3215060,-
336,BUMA.1121.00095,1,2911850,2922729,-
336,BUMA.1121.00077,1,1458407,1469162,+
336,BUMA.1121.00063,1,2732231,2743114,+
336,BUMA.1121.00061,1,2735437,2746269,+
336,BUMA.1121.00050,1,650539,661343,-
336,BUMA.1121.00081,1,600700,611523,+
336,BUMA.1121.00074,1,1059198,1070080,-
336,BUMA.1121.00062,1,1757936,1768768,-
336,BUMA.1121.00060,1,3501899,3512789,-
336,BUMA.1121.00070,1,2706533,2717392,+
336,BUMA.1121.00075,1,2288560,2299409,+
336,BUMA.1121.00041,1,4105101,4115914,+
336,BUMA.1121.00073,1,2733624,2744505,+
336,BUMA.1121.00017,1,2982483,2993273,-
336,BUMA.1121.00066,1,2709103,2719983,+
336,BUMA.1121.00107,1,2738168,2748996,+
336,BUMA.1121.00030,1,2982553,2993343,-
336,BUMA.1121.00112,1,35545,46362,-
336,BUMA.1121.00082,1,2892867,2903767,+
336,BUMA.1121.00014,1,4113437,4124332,-
336,BUMA.1121.00011,1,2858784,2869598,-
336,BUMA.1121.00019,1,2998750,3009540,-
336,BUMA.1121.00057,1,3908276,3919101,+
336,BUMA.1121.00018,1,3388948,3399868,+
336,BUMA.1121.00039,1,2936480,2947391,+
336,BUMA.1121.00016,1,909835,920754,+
336,BUMA.1121.00004,1,3127658,3138447,-
336,BUMA.1121.00005,1,1500859,1511741,+
336,BUMA.1121.00100,1,2567448,2578377,-
336,BUMA.1121.00006,1,600630,611453,+
335,BUMA.1121.00027,1,922229,932078,+
335,BUMA.1121.00025,1,4026304,4036079,-
335,BUMA.1121.00021,1,3380757,3390649,+
335,BUMA.1121.00023,1,1100968,1110843,+
335,BUMA.1121.00033,1,969747,979637,+
335,BUMA.1121.00034,1,3068959,3078776,+
335,BUMA.1121.00036,1,1071227,1080956,-
335,BUMA.1121.00032,1,1098642,1108459,+
335,BUMA.1121.00009,1,2791438,2801256,-
335,BUMA.1121.00008,1,3043164,3052981,+
335,BUMA.1121.00003,1,1269321,1279185,+
335,BUMA.1121.00109,1,3123482,3133243,-
335,BUMA.1121.00053,1,2541692,2551618,+
335,BUMA.1121.00110,1,2030179,2039933,-
335,BUMA.1121.00104,1,2459262,2469089,-
335,BUMA.1121.00086,1,1717965,1727775,+
335,BUMA.1121.00092,1,991076,1000865,-
335,BUMA.1121.00096,1,488431,498217,-
335,BUMA.1121.00054,1,5494,15323,+
335,BUMA.1121.00054,1,3515607,3525438,+
335,BUMA.1121.00097,1,1138456,1148251,-
335,BUMA.1121.00093,1,3625199,3635069,+
335,BUMA.1121.00106,1,2522249,2532129,+
335,BUMA.1121.00010,1,2108226,2117976,-
335,BUMA.1121.00035,1,3934841,3944759,+
335,BUMA.1121.00108,1,3819854,3829718,+
335,BUMA.1121.00028,1,3031558,3041375,+
335,BUMA.1121.00094,1,2766232,2776172,+
