block,species,chr,chr_beg,chr_end,orientation
249,BUMA.1121.00057,1,3998406,4005432,+
249,BUMA.1121.00058,1,1635290,1642306,-
249,BUMA.1121.00043,2,2971943,2978929,+
249,BUMA.1121.00045,1,1170324,1177358,-
249,BUMA.1121.00051,1,2854918,2861953,+
249,BUMA.1121.00068,1,1659950,1666932,+
249,BUMA.1121.00061,1,2825552,2832563,+
249,BUMA.1121.00060,1,3415542,3422576,-
249,BUMA.1121.00059,2,2115629,2122655,+
249,BUMA.1121.00064,1,2894363,2901371,+
249,BUMA.1121.00016,1,999962,1006968,+
249,BUMA.1121.00003,1,1376430,1383465,+
249,BUMA.1121.00055,1,2568495,2575494,+
249,BUMA.1121.00011,1,2772651,2779541,-
249,BUMA.1121.00037,1,1490399,1497415,+
249,BUMA.1121.00009,1,2687571,2694692,-
249,BUMA.1121.00035,1,4040500,4047495,+
249,BUMA.1121.00088,1,3798897,3805937,+
249,BUMA.1121.00069,1,2794864,2801870,+
249,BUMA.1121.00092,1,888496,895508,-
249,BUMA.1121.00074,1,972894,979901,-
249,BUMA.1121.00070,1,2796669,2803676,+
249,BUMA.1121.00093,1,3730599,3737612,+
249,BUMA.1121.00063,1,2822388,2829390,+
249,BUMA.1121.00033,1,1076448,1083436,+
249,BUMA.1121.00018,1,3479104,3486111,+
249,BUMA.1121.00080,1,2886666,2893701,+
249,BUMA.1121.00027,1,1075814,1082870,+
249,BUMA.1121.00053,1,2649084,2656104,+
249,BUMA.1121.00047,1,58972,66015,-
249,BUMA.1121.00067,1,1527247,1534263,-
249,BUMA.1121.00110,1,1927575,1934699,-
249,BUMA.1121.00073,1,2823789,2830797,+
249,BUMA.1121.00072,1,2796408,2803434,+
249,BUMA.1121.00082,1,2983092,2990118,+
249,BUMA.1121.00077,1,1548512,1555638,+
249,BUMA.1121.00025,2,3923724,3930739,-
249,BUMA.1121.00062,1,1671702,1678727,-
249,BUMA.1121.00007,1,1168557,1175529,-
249,BUMA.1121.00041,2,60070,67136,+
249,BUMA.1121.00021,1,3486476,3493474,+
249,BUMA.1121.00103,1,1477701,1484655,-
249,BUMA.1121.00056,1,1077020,1084054,-
249,BUMA.1121.00112,1,4177949,4184965,-
249,BUMA.1121.00091,1,1627378,1634394,-
249,BUMA.1121.00099,1,3520873,3527930,-
249,BUMA.1121.00096,1,385736,392752,-
249,BUMA.1121.00079,1,2921012,2928038,+
249,BUMA.1121.00083,1,2789242,2796267,-
249,BUMA.1121.00084,1,3253220,3260251,+
249,BUMA.1121.00049,1,2940201,2947235,-
249,BUMA.1121.00089,1,2842791,2849826,+
249,BUMA.1121.00014,1,4027249,4034201,-
249,BUMA.1121.00090,1,963244,970243,+
249,BUMA.1121.00071,1,2814239,2821247,+
249,BUMA.1121.00078,1,3117820,3124830,-
249,BUMA.1121.00102,1,2398759,2405760,-
249,BUMA.1121.00075,1,2378770,2385794,+
249,BUMA.1121.00012,1,1640173,1647168,+
249,BUMA.1121.00076,1,2426481,2433506,-
