Seq_id	Size	Description
1	3158067	BUMA.1121.00049.2
2	3157158	BUMA.1121.00055.2
3	3249682	BUMA.1121.00011.2
4	3255964	BUMA.1121.00110.2
5	3327069	BUMA.1121.00109.2
6	3257130	BUMA.1121.00077.2
7	3188795	BUMA.1121.00027.2
8	4012048	BUMA.1121.00027.1
9	1858468	BUMA.1121.00026.2
10	3138916	BUMA.1121.00021.2
11	3078971	BUMA.1121.00025.1
12	4047168	BUMA.1121.00021.1
13	4099156	BUMA.1121.00023.1
14	3507313	BUMA.1121.00024.1
15	3245729	BUMA.1121.00023.2
16	2353251	BUMA.1121.00022.2
17	4191431	BUMA.1121.00033.1
18	3573774	BUMA.1121.00034.1
19	2120552	BUMA.1121.00034.2
20	3458245	BUMA.1121.00036.1
21	3506611	BUMA.1121.00032.1
22	4191510	BUMA.1121.00025.2
23	3265844	BUMA.1121.00031.2
24	3236633	BUMA.1121.00007.2
25	3976360	BUMA.1121.00009.1
26	3558359	BUMA.1121.00008.1
27	3245118	BUMA.1121.00097.2
28	2104758	BUMA.1121.00008.2
29	2093516	BUMA.1121.00002.2
30	2105259	BUMA.1121.00004.2
31	3254339	BUMA.1121.00005.2
32	3969298	BUMA.1121.00109.1
33	4075626	BUMA.1121.00053.1
34	4008750	BUMA.1121.00110.1
35	3146543	BUMA.1121.00104.1
36	3212183	BUMA.1121.00111.2
37	2325357	BUMA.1121.00006.2
38	3495687	BUMA.1121.00086.1
39	4092668	BUMA.1121.00092.1
40	4029411	BUMA.1121.00096.1
41	3539355	BUMA.1121.00054.1
42	4067975	BUMA.1121.00097.1
43	4092176	BUMA.1121.00093.1
44	3272138	BUMA.1121.00009.2
45	3983995	BUMA.1121.00106.1
46	3153284	BUMA.1121.00094.2
47	3248948	BUMA.1121.00101.2
48	3103695	BUMA.1121.00066.2
49	3533279	BUMA.1121.00010.1
50	3340053	BUMA.1121.00095.2
51	4121829	BUMA.1121.00035.1
52	3267160	BUMA.1121.00112.2
53	2146721	BUMA.1121.00042.2
54	4031107	BUMA.1121.00108.1
55	3578521	BUMA.1121.00028.1
56	4001777	BUMA.1121.00094.1
57	1726745	BUMA.1121.00032.2
58	4185307	BUMA.1121.00102.1
59	3260214	BUMA.1121.00090.2
60	2106729	BUMA.1121.00020.2
61	4032598	BUMA.1121.00111.1
62	3100794	BUMA.1121.00089.2
63	3988455	BUMA.1121.00089.1
64	3115305	BUMA.1121.00051.2
65	4126186	BUMA.1121.00084.1
66	3267789	BUMA.1121.00029.1
67	3190202	BUMA.1121.00001.2
68	4195070	BUMA.1121.00012.1
69	3476186	BUMA.1121.00087.1
70	3258775	BUMA.1121.00045.2
71	4177999	BUMA.1121.00043.2
72	3269674	BUMA.1121.00043.1
73	3509022	BUMA.1121.00046.1
74	4027521	BUMA.1121.00037.1
75	4013273	BUMA.1121.00080.1
76	4066496	BUMA.1121.00079.1
77	4019555	BUMA.1121.00045.1
78	3113526	BUMA.1121.00063.2
79	3855598	BUMA.1121.00071.1
80	3984211	BUMA.1121.00056.1
81	3112891	BUMA.1121.00079.2
82	3119419	BUMA.1121.00071.2
83	2352673	BUMA.1121.00086.2
84	2240444	BUMA.1121.00024.2
85	2096906	BUMA.1121.00010.2
86	2226169	BUMA.1121.00040.2
87	3145430	BUMA.1121.00093.2
88	4038504	BUMA.1121.00065.1
89	4058327	BUMA.1121.00058.1
90	4054214	BUMA.1121.00007.1
91	3244818	BUMA.1121.00091.2
92	3227179	BUMA.1121.00107.2
93	4028032	BUMA.1121.00067.1
94	4121652	BUMA.1121.00090.1
95	3184730	BUMA.1121.00088.2
96	3130285	BUMA.1121.00047.2
97	3987008	BUMA.1121.00051.1
98	3625803	BUMA.1121.00020.1
99	2185884	BUMA.1121.00019.2
100	4059501	BUMA.1121.00103.1
101	2351354	BUMA.1121.00087.2
102	4046807	BUMA.1121.00039.2
103	3510187	BUMA.1121.00048.1
104	4091933	BUMA.1121.00047.1
105	3500987	BUMA.1121.00042.1
106	4098323	BUMA.1121.00055.1
107	4077643	BUMA.1121.00031.1
108	3553991	BUMA.1121.00040.1
109	2120306	BUMA.1121.00030.2
110	3517959	BUMA.1121.00044.1
111	3263197	BUMA.1121.00016.2
112	4140527	BUMA.1121.00088.1
113	3850633	BUMA.1121.00069.1
114	3138747	BUMA.1121.00092.2
115	1734922	BUMA.1121.00085.2
116	4006427	BUMA.1121.00064.1
117	2152790	BUMA.1121.00046.2
118	3127446	BUMA.1121.00003.2
119	4017692	BUMA.1121.00105.1
120	2325282	BUMA.1121.00054.2
121	3542895	BUMA.1121.00015.1
122	2237500	BUMA.1121.00015.2
123	3200711	BUMA.1121.00105.2
124	3176413	BUMA.1121.00059.1
125	1734864	BUMA.1121.00052.2
126	3550588	BUMA.1121.00026.1
127	3217986	BUMA.1121.00053.2
128	3559874	BUMA.1121.00022.1
129	3139076	BUMA.1121.00057.2
130	3497616	BUMA.1121.00052.1
131	3194326	BUMA.1121.00108.2
132	3955130	BUMA.1121.00101.1
133	4090941	BUMA.1121.00001.1
134	2321527	BUMA.1121.00050.2
135	3509987	BUMA.1121.00038.1
136	3925545	BUMA.1121.00104.2
137	3273436	BUMA.1121.00014.2
138	2284094	BUMA.1121.00036.2
139	2226558	BUMA.1121.00038.2
140	4112169	BUMA.1121.00068.1
141	3205965	BUMA.1121.00098.2
142	3303850	BUMA.1121.00078.2
143	4088931	BUMA.1121.00099.1
144	4062495	BUMA.1121.00029.2
145	4021786	BUMA.1121.00091.1
146	3267421	BUMA.1121.00099.2
147	4240604	BUMA.1121.00098.1
148	3390988	BUMA.1121.00103.2
149	3560387	BUMA.1121.00013.1
150	4032964	BUMA.1121.00049.1
151	3190204	BUMA.1121.00102.2
152	2146701	BUMA.1121.00028.2
153	3847660	BUMA.1121.00072.1
154	3933277	BUMA.1121.00076.1
155	3147867	BUMA.1121.00075.2
156	2120266	BUMA.1121.00044.2
157	3208521	BUMA.1121.00076.2
158	3363129	BUMA.1121.00074.2
159	3120072	BUMA.1121.00073.2
160	3173067	BUMA.1121.00083.2
161	3306537	BUMA.1121.00035.2
162	3097834	BUMA.1121.00072.2
163	4074547	BUMA.1121.00083.1
164	3102103	BUMA.1121.00056.2
165	4166370	BUMA.1121.00078.1
166	2325358	BUMA.1121.00081.2
167	3997043	BUMA.1121.00095.1
168	4009467	BUMA.1121.00077.1
169	3852886	BUMA.1121.00063.1
170	3859639	BUMA.1121.00061.1
171	3245063	BUMA.1121.00033.2
172	3102688	BUMA.1121.00061.2
173	3553303	BUMA.1121.00050.1
174	3510148	BUMA.1121.00081.1
175	3800385	BUMA.1121.00074.1
176	3976798	BUMA.1121.00062.1
177	3225565	BUMA.1121.00062.2
178	3039355	BUMA.1121.00064.2
179	3008316	BUMA.1121.00060.2
180	4019503	BUMA.1121.00060.1
181	3915206	BUMA.1121.00003.1
182	4003948	BUMA.1121.00059.2
183	3842045	BUMA.1121.00070.1
184	3069583	BUMA.1121.00069.2
185	3932431	BUMA.1121.00075.1
186	3099454	BUMA.1121.00070.2
187	3248554	BUMA.1121.00041.1
188	3147799	BUMA.1121.00068.2
189	3866281	BUMA.1121.00073.1
190	3471439	BUMA.1121.00017.1
191	3156537	BUMA.1121.00067.2
192	3854943	BUMA.1121.00066.1
193	3207929	BUMA.1121.00037.2
194	3228004	BUMA.1121.00065.2
195	3214293	BUMA.1121.00058.2
196	4110442	BUMA.1121.00107.1
197	3497434	BUMA.1121.00085.1
198	3471518	BUMA.1121.00030.1
199	4135206	BUMA.1121.00041.2
200	3181762	BUMA.1121.00084.2
201	3361895	BUMA.1121.00096.2
202	4228651	BUMA.1121.00112.1
203	3173851	BUMA.1121.00080.2
204	3531732	BUMA.1121.00002.1
205	4074542	BUMA.1121.00082.1
206	4224888	BUMA.1121.00014.1
207	2125937	BUMA.1121.00013.2
208	3108026	BUMA.1121.00100.2
209	3286818	BUMA.1121.00012.2
210	4067698	BUMA.1121.00011.1
211	3512311	BUMA.1121.00019.1
212	4007572	BUMA.1121.00057.1
213	3084746	BUMA.1121.00018.2
214	4149734	BUMA.1121.00018.1
215	2325279	BUMA.1121.00048.2
216	3144330	BUMA.1121.00039.1
217	4056414	BUMA.1121.00016.1
218	3194042	BUMA.1121.00106.2
219	2120545	BUMA.1121.00017.2
220	3623658	BUMA.1121.00004.1
221	3173005	BUMA.1121.00082.2
222	4059297	BUMA.1121.00005.1
223	4021747	BUMA.1121.00100.1
224	3510064	BUMA.1121.00006.1
--------------------------------------------------------------------------------
Block #502
Seq_id	Strand	Start	End	Length
202	+	349257	354775	5518
206	+	167651	173158	5507
--------------------------------------------------------------------------------
Block #501
Seq_id	Strand	Start	End	Length
202	+	336102	345004	8902
206	+	152698	161606	8908
--------------------------------------------------------------------------------
Block #500
Seq_id	Strand	Start	End	Length
202	+	314688	321604	6916
206	+	127721	134617	6896
--------------------------------------------------------------------------------
Block #499
Seq_id	Strand	Start	End	Length
202	+	298158	306626	8468
206	+	111465	119925	8460
--------------------------------------------------------------------------------
Block #498
Seq_id	Strand	Start	End	Length
163	+	1065240	1102299	37059
205	-	639587	602528	37059
--------------------------------------------------------------------------------
Block #497
Seq_id	Strand	Start	End	Length
163	+	832238	845929	13691
205	-	872582	858891	13691
--------------------------------------------------------------------------------
Block #496
Seq_id	Strand	Start	End	Length
145	+	1401467	1409651	8184
167	+	2599894	2608073	8179
199	-	346668	338484	8184
222	-	1827503	1819319	8184
--------------------------------------------------------------------------------
Block #495
Seq_id	Strand	Start	End	Length
145	+	1386816	1391925	5109
167	+	2583799	2588898	5099
199	-	361317	356208	5109
222	-	1842152	1837043	5109
--------------------------------------------------------------------------------
Block #494
Seq_id	Strand	Start	End	Length
143	+	844725	880987	36262
147	+	2293538	2329805	36267
222	-	218159	181299	36860
--------------------------------------------------------------------------------
Block #493
Seq_id	Strand	Start	End	Length
140	+	1344464	1351003	6539
196	+	2497865	2504415	6550
--------------------------------------------------------------------------------
Block #492
Seq_id	Strand	Start	End	Length
132	+	1695113	1701982	6869
196	-	635355	628484	6871
--------------------------------------------------------------------------------
Block #491
Seq_id	Strand	Start	End	Length
131	+	2612454	2621247	8793
142	-	774951	766158	8793
155	-	478701	469908	8793
157	+	118767	127560	8793
188	+	954661	963454	8793
208	+	394331	403124	8793
209	-	2572636	2563853	8783
--------------------------------------------------------------------------------
Block #490
Seq_id	Strand	Start	End	Length
131	+	2604001	2612452	8451
209	-	2581090	2572637	8453
--------------------------------------------------------------------------------
Block #489
Seq_id	Strand	Start	End	Length
119	+	643974	649941	5967
202	+	2514168	2520123	5955
--------------------------------------------------------------------------------
Block #488
Seq_id	Strand	Start	End	Length
107	+	1942312	1951302	8990
206	-	2277799	2268808	8991
--------------------------------------------------------------------------------
Block #487
Seq_id	Strand	Start	End	Length
107	+	1932875	1939862	6987
206	-	2285964	2278978	6986
--------------------------------------------------------------------------------
Block #486
Seq_id	Strand	Start	End	Length
107	+	1921406	1927708	6302
206	-	2297585	2291132	6453
--------------------------------------------------------------------------------
Block #485
Seq_id	Strand	Start	End	Length
107	+	1908934	1920240	11306
206	-	2308571	2298750	9821
--------------------------------------------------------------------------------
Block #484
Seq_id	Strand	Start	End	Length
104	+	1837502	1843546	6044
112	-	2022183	2016139	6044
--------------------------------------------------------------------------------
Block #483
Seq_id	Strand	Start	End	Length
100	+	718819	728953	10134
145	+	863885	874019	10134
196	-	3599507	3589364	10143
--------------------------------------------------------------------------------
Block #482
Seq_id	Strand	Start	End	Length
93	+	3835506	3841840	6334
175	+	3311792	3318126	6334
--------------------------------------------------------------------------------
Block #481
Seq_id	Strand	Start	End	Length
93	+	3819479	3834338	14859
175	+	3295765	3310624	14859
--------------------------------------------------------------------------------
Block #480
Seq_id	Strand	Start	End	Length
90	+	2998888	3007366	8478
100	+	3192752	3201408	8656
106	-	805065	796604	8461
147	-	3953165	3944888	8277
163	+	370899	379166	8267
199	-	2523589	2515092	8497
205	-	1333927	1325660	8267
210	+	372704	380981	8277
--------------------------------------------------------------------------------
Block #479
Seq_id	Strand	Start	End	Length
89	+	1945482	1951123	5641
202	+	356427	362059	5632
206	+	175751	181386	5635
--------------------------------------------------------------------------------
Block #478
Seq_id	Strand	Start	End	Length
89	+	1923820	1939149	15329
206	+	95381	110696	15315
--------------------------------------------------------------------------------
Block #477
Seq_id	Strand	Start	End	Length
87	+	2409645	2417208	7563
114	-	535253	527689	7564
--------------------------------------------------------------------------------
