block,species,chr,chr_beg,chr_end,orientation
244,BUMA.1121.00042,2,120845,128674,+
244,BUMA.1121.00026,2,127848,135677,-
243,BUMA.1121.00042,1,1724491,1756949,+
243,BUMA.1121.00026,1,3149741,3182167,+
242,BUMA.1121.00087,2,2077448,2085775,+
242,BUMA.1121.00086,2,1810285,1818612,+
242,BUMA.1121.00034,2,434232,442560,-
242,BUMA.1121.00017,2,434198,442526,-
242,BUMA.1121.00042,2,517668,525981,-
242,BUMA.1121.00036,2,2130282,2138610,-
242,BUMA.1121.00013,2,2014162,2022489,+
242,BUMA.1121.00028,2,434158,442486,-
242,BUMA.1121.00004,2,434199,442527,-
242,BUMA.1121.00008,2,434044,442372,-
242,BUMA.1121.00022,2,1002390,1010717,+
242,BUMA.1121.00024,2,434076,442404,-
242,BUMA.1121.00032,2,858520,866848,-
242,BUMA.1121.00019,2,434143,442471,-
242,BUMA.1121.00044,2,485348,493676,-
242,BUMA.1121.00030,2,1679241,1687568,+
242,BUMA.1121.00020,2,434179,442507,-
241,BUMA.1121.00087,2,1214998,1220452,+
241,BUMA.1121.00086,2,947501,952955,+
241,BUMA.1121.00034,2,630699,636153,+
241,BUMA.1121.00017,2,630671,636125,+
241,BUMA.1121.00002,2,1182064,1187518,+
241,BUMA.1121.00042,2,984732,990174,-
241,BUMA.1121.00036,2,199279,204733,+
241,BUMA.1121.00028,2,656796,662250,+
241,BUMA.1121.00010,2,2037907,2043361,+
241,BUMA.1121.00004,2,721343,726797,+
241,BUMA.1121.00008,2,720623,726077,+
241,BUMA.1121.00022,2,140154,145608,+
241,BUMA.1121.00026,2,1271686,1277140,+
241,BUMA.1121.00024,2,656736,662191,+
241,BUMA.1121.00024,2,750663,756115,+
241,BUMA.1121.00032,2,1123322,1128776,+
241,BUMA.1121.00019,2,721328,726782,+
241,BUMA.1121.00044,2,681813,687267,+
241,BUMA.1121.00030,2,1485633,1491088,-
241,BUMA.1121.00020,2,721364,726818,+
240,BUMA.1121.00081,2,1626858,1636010,+
240,BUMA.1121.00006,2,687504,696656,-
240,BUMA.1121.00087,2,2223010,2232162,+
240,BUMA.1121.00040,2,653942,663102,-
240,BUMA.1121.00086,2,722784,731936,-
240,BUMA.1121.00054,2,487654,496805,-
240,BUMA.1121.00034,2,1378014,1387153,+
240,BUMA.1121.00048,2,40852,50004,+
240,BUMA.1121.00017,2,1378007,1387146,+
240,BUMA.1121.00038,2,687539,696691,-
240,BUMA.1121.00042,2,1139959,1149148,+
240,BUMA.1121.00036,2,931406,940558,+
240,BUMA.1121.00013,2,1154070,1163204,-
240,BUMA.1121.00028,2,1404176,1413314,+
240,BUMA.1121.00004,2,1362865,1372003,+
240,BUMA.1121.00008,2,1362189,1371327,+
