strain,character_state,character_state_annotation
BUMA.1121.00034,1,complex break of adjacency
BUMA.1121.00086,0,adjacency exists
BUMA.1121.00038,0,adjacency exists
BUMA.1121.00024,1,complex break of adjacency
BUMA.1121.00050,0,adjacency exists
BUMA.1121.00046,0,adjacency exists
BUMA.1121.00054,0,adjacency exists
BUMA.1121.00044,1,complex break of adjacency
BUMA.1121.00026,2,some block is not presented
BUMA.1121.00036,0,adjacency exists
BUMA.1121.00022,1,complex break of adjacency
BUMA.1121.00030,1,complex break of adjacency
BUMA.1121.00004,1,complex break of adjacency
BUMA.1121.00087,0,adjacency exists
BUMA.1121.00052,0,adjacency exists
BUMA.1121.00006,0,adjacency exists
BUMA.1121.00042,0,adjacency exists
BUMA.1121.00048,0,adjacency exists
BUMA.1121.00020,1,complex break of adjacency
BUMA.1121.00002,0,adjacency exists
BUMA.1121.00013,0,adjacency exists
BUMA.1121.00032,1,complex break of adjacency
BUMA.1121.00028,1,complex break of adjacency
BUMA.1121.00019,1,complex break of adjacency
BUMA.1121.00040,1,complex break of adjacency
BUMA.1121.00008,1,complex break of adjacency
BUMA.1121.00081,0,adjacency exists
BUMA.1121.00010,0,adjacency exists
BUMA.1121.00085,0,adjacency exists
BUMA.1121.00017,1,complex break of adjacency
BUMA.1121.00015,0,adjacency exists
