block,genome,chr/contig,start,end,orientation,length
668,BUMA.1121.00029,1,3861358,3864456,+,3098
668,BUMA.1121.00035,1,2178019,2181119,-,3100
667,BUMA.1121.00029,1,3856094,3859447,+,3353
667,BUMA.1121.00035,1,2184380,2187737,-,3357
666,BUMA.1121.00029,1,880805,884466,+,3661
666,BUMA.1121.00035,1,1088649,1092310,-,3661
665,BUMA.1121.00094,1,1141331,1146443,+,5112
665,BUMA.1121.00065,1,1222671,1227785,+,5114
664,BUMA.1121.00097,1,3965625,3975141,+,9516
664,BUMA.1121.00101,1,2396376,2407132,+,10756
663,BUMA.1121.00097,1,3698018,3701307,+,3289
663,BUMA.1121.00101,1,2144956,2148245,+,3289
662,BUMA.1121.00109,1,774567,782285,+,7718
662,BUMA.1121.00100,1,198604,206322,+,7718
661,BUMA.1121.00111,1,3231972,3236652,+,4680
661,BUMA.1121.00095,1,2652909,2657586,-,4677
660,BUMA.1121.00108,2,2603999,2612452,+,8453
660,BUMA.1121.00012,2,2572637,2581090,-,8453
659,BUMA.1121.00099,1,844710,880986,+,36276
659,BUMA.1121.00098,1,2293538,2329807,+,36269
659,BUMA.1121.00005,1,181303,218161,-,36858
658,BUMA.1121.00107,1,628484,635355,+,6871
658,BUMA.1121.00101,1,1695112,1701982,-,6870
657,BUMA.1121.00001,1,3119376,3122591,+,3215
657,BUMA.1121.00029,1,3972875,3976090,+,3215
656,BUMA.1121.00001,1,3007349,3010818,+,3469
656,BUMA.1121.00029,1,3852624,3856093,+,3469
656,BUMA.1121.00035,1,2187739,2191207,-,3468
655,BUMA.1121.00001,1,3000665,3006137,+,5472
655,BUMA.1121.00029,1,3845939,3851412,+,5473
655,BUMA.1121.00035,1,2192419,2197893,-,5474
654,BUMA.1121.00001,1,1057232,1060781,+,3549
654,BUMA.1121.00029,1,1924611,1928160,+,3549
653,BUMA.1121.00001,1,8151,11483,+,3332
653,BUMA.1121.00029,1,884468,887800,+,3332
653,BUMA.1121.00035,1,1085316,1088648,-,3332
652,BUMA.1121.00012,1,2798651,2805351,+,6700
652,BUMA.1121.00035,1,1108830,1115530,+,6700
651,BUMA.1121.00102,1,1665033,1670563,+,5530
651,BUMA.1121.00098,1,2287913,2293463,-,5550
650,BUMA.1121.00090,1,3277460,3282769,+,5309
650,BUMA.1121.00012,1,3932951,3938258,+,5307
650,BUMA.1121.00035,1,2266395,2271704,+,5309
649,BUMA.1121.00090,1,3274334,3277458,+,3124
