strain,character_state,character_state_annotation
BUMA.1121.00077,0,0 copies
BUMA.1121.00070,0,0 copies
BUMA.1121.00106,0,0 copies
BUMA.1121.00061,2,2 copies
BUMA.1121.00014,0,0 copies
BUMA.1121.00064,1,1 copies
BUMA.1121.00049,0,0 copies
BUMA.1121.00079,1,1 copies
BUMA.1121.00066,0,0 copies
BUMA.1121.00045,1,1 copies
BUMA.1121.00093,2,2 copies
BUMA.1121.00035,1,1 copies
BUMA.1121.00027,1,1 copies
BUMA.1121.00007,1,1 copies
BUMA.1121.00053,1,1 copies
BUMA.1121.00025,0,0 copies
BUMA.1121.00096,1,1 copies
BUMA.1121.00074,1,1 copies
BUMA.1121.00023,0,0 copies
BUMA.1121.00060,1,1 copies
BUMA.1121.00084,0,0 copies
BUMA.1121.00069,0,0 copies
BUMA.1121.00009,1,1 copies
BUMA.1121.00082,2,2 copies
BUMA.1121.00101,0,0 copies
BUMA.1121.00080,0,0 copies
BUMA.1121.00056,0,0 copies
BUMA.1121.00067,1,1 copies
BUMA.1121.00065,1,1 copies
BUMA.1121.00098,2,2 copies
BUMA.1121.00072,0,0 copies
BUMA.1121.00104,0,0 copies
BUMA.1121.00016,0,0 copies
BUMA.1121.00029,1,1 copies
BUMA.1121.00039,0,0 copies
BUMA.1121.00100,1,1 copies
BUMA.1121.00102,0,0 copies
BUMA.1121.00031,0,0 copies
BUMA.1121.00099,1,1 copies
BUMA.1121.00012,1,1 copies
BUMA.1121.00058,0,0 copies
BUMA.1121.00073,2,2 copies
BUMA.1121.00097,0,0 copies
BUMA.1121.00051,0,0 copies
BUMA.1121.00111,0,0 copies
BUMA.1121.00068,1,1 copies
BUMA.1121.00095,1,1 copies
BUMA.1121.00071,2,2 copies
BUMA.1121.00059,0,0 copies
BUMA.1121.00063,2,2 copies
BUMA.1121.00003,0,0 copies
BUMA.1121.00043,0,0 copies
BUMA.1121.00001,1,1 copies
BUMA.1121.00092,2,2 copies
BUMA.1121.00090,1,1 copies
BUMA.1121.00083,2,2 copies
BUMA.1121.00055,1,1 copies
BUMA.1121.00011,1,1 copies
BUMA.1121.00109,0,0 copies
BUMA.1121.00112,0,0 copies
BUMA.1121.00108,1,1 copies
BUMA.1121.00088,1,1 copies
BUMA.1121.00091,0,0 copies
BUMA.1121.00105,1,1 copies
BUMA.1121.00078,0,0 copies
BUMA.1121.00110,0,0 copies
BUMA.1121.00094,0,0 copies
BUMA.1121.00076,0,0 copies
BUMA.1121.00005,0,0 copies
BUMA.1121.00107,1,1 copies
BUMA.1121.00037,0,0 copies
BUMA.1121.00062,1,1 copies
BUMA.1121.00089,0,0 copies
BUMA.1121.00041,1,1 copies
BUMA.1121.00103,0,0 copies
BUMA.1121.00021,0,0 copies
BUMA.1121.00033,1,1 copies
BUMA.1121.00057,0,0 copies
BUMA.1121.00075,0,0 copies
BUMA.1121.00047,0,0 copies
BUMA.1121.00018,0,0 copies
