strain,character_state,character_state_annotation
BUMA.1121.00077,0,0 copies
BUMA.1121.00090,0,0 copies
BUMA.1121.00070,0,0 copies
BUMA.1121.00106,0,0 copies
BUMA.1121.00011,0,0 copies
BUMA.1121.00100,0,0 copies
BUMA.1121.00093,0,0 copies
BUMA.1121.00014,0,0 copies
BUMA.1121.00049,0,0 copies
BUMA.1121.00066,0,0 copies
BUMA.1121.00068,0,0 copies
BUMA.1121.00095,0,0 copies
BUMA.1121.00107,0,0 copies
BUMA.1121.00025,0,0 copies
BUMA.1121.00082,0,0 copies
BUMA.1121.00041,0,0 copies
BUMA.1121.00033,0,0 copies
BUMA.1121.00023,0,0 copies
BUMA.1121.00084,0,0 copies
BUMA.1121.00069,0,0 copies
BUMA.1121.00055,0,0 copies
BUMA.1121.00003,1,1 copies
BUMA.1121.00098,0,0 copies
BUMA.1121.00108,0,0 copies
BUMA.1121.00080,0,0 copies
BUMA.1121.00088,0,0 copies
BUMA.1121.00056,0,0 copies
BUMA.1121.00105,0,0 copies
BUMA.1121.00072,0,0 copies
BUMA.1121.00064,0,0 copies
BUMA.1121.00104,0,0 copies
BUMA.1121.00016,0,0 copies
BUMA.1121.00039,0,0 copies
BUMA.1121.00102,0,0 copies
BUMA.1121.00073,0,0 copies
BUMA.1121.00062,0,0 copies
BUMA.1121.00031,0,0 copies
BUMA.1121.00071,0,0 copies
BUMA.1121.00063,0,0 copies
BUMA.1121.00058,0,0 copies
BUMA.1121.00053,0,0 copies
BUMA.1121.00097,0,0 copies
BUMA.1121.00096,0,0 copies
BUMA.1121.00092,0,0 copies
BUMA.1121.00051,0,0 copies
BUMA.1121.00111,0,0 copies
BUMA.1121.00083,0,0 copies
BUMA.1121.00059,0,0 copies
BUMA.1121.00043,0,0 copies
BUMA.1121.00079,0,0 copies
BUMA.1121.00045,0,0 copies
BUMA.1121.00109,0,0 copies
BUMA.1121.00112,0,0 copies
BUMA.1121.00101,1,1 copies
BUMA.1121.00091,0,0 copies
BUMA.1121.00035,0,0 copies
BUMA.1121.00029,0,0 copies
BUMA.1121.00027,0,0 copies
BUMA.1121.00078,0,0 copies
BUMA.1121.00007,0,0 copies
BUMA.1121.00099,0,0 copies
BUMA.1121.00110,0,0 copies
BUMA.1121.00094,0,0 copies
BUMA.1121.00074,0,0 copies
BUMA.1121.00060,0,0 copies
BUMA.1121.00012,0,0 copies
BUMA.1121.00076,0,0 copies
BUMA.1121.00005,0,0 copies
BUMA.1121.00037,0,0 copies
BUMA.1121.00009,0,0 copies
BUMA.1121.00089,0,0 copies
BUMA.1121.00103,0,0 copies
BUMA.1121.00021,0,0 copies
BUMA.1121.00057,0,0 copies
BUMA.1121.00075,0,0 copies
BUMA.1121.00047,0,0 copies
BUMA.1121.00067,0,0 copies
BUMA.1121.00061,0,0 copies
BUMA.1121.00065,0,0 copies
BUMA.1121.00018,0,0 copies
BUMA.1121.00001,0,0 copies
