Genome,Length
BUMA.1121.00022.1,3559858
BUMA.1121.00024.1,3507358
BUMA.1121.00054.1,3539287
BUMA.1121.00052.1,3497571
BUMA.1121.00048.1,3510187
BUMA.1121.00050.1,3553363
BUMA.1121.00050.2,2321567
BUMA.1121.00015.1,3542936
BUMA.1121.00081.2,2325365
BUMA.1121.00006.2,2325357
BUMA.1121.00086.1,3495687
BUMA.1121.00085.1,3497450
BUMA.1121.00040.1,3553890
BUMA.1121.00087.2,2351417
BUMA.1121.00040.2,2226175
BUMA.1121.00020.1,3625848
BUMA.1121.00044.1,3517959
BUMA.1121.00086.2,2352680
BUMA.1121.00054.2,2325322
BUMA.1121.00002.1,3531732
BUMA.1121.00087.1,3476186
BUMA.1121.00042.1,3501019
BUMA.1121.00034.2,2120572
BUMA.1121.00048.2,2325354
BUMA.1121.00017.2,2120565
BUMA.1121.00038.2,2226558
BUMA.1121.00085.2,1734922
BUMA.1121.00002.2,2093334
BUMA.1121.00046.1,3509051
BUMA.1121.00046.2,2152800
BUMA.1121.00042.2,2146721
BUMA.1121.00036.1,3458247
BUMA.1121.00038.1,3510032
BUMA.1121.00036.2,2284094
BUMA.1121.00013.2,2125970
BUMA.1121.00081.1,3510148
BUMA.1121.00034.1,3573819
BUMA.1121.00028.2,2146721
BUMA.1121.00013.1,3560434
BUMA.1121.00010.2,2096906
BUMA.1121.00004.2,2105279
BUMA.1121.00032.1,3506640
BUMA.1121.00015.2,2237503
BUMA.1121.00004.1,3623703
BUMA.1121.00006.1,3510109
BUMA.1121.00017.1,3471484
BUMA.1121.00008.1,3558404
BUMA.1121.00028.1,3578566
BUMA.1121.00008.2,2104778
BUMA.1121.00022.2,2353260
BUMA.1121.00026.2,1858539
BUMA.1121.00026.1,3550623
BUMA.1121.00024.2,2240464
BUMA.1121.00052.2,1734864
BUMA.1121.00032.2,1726745
BUMA.1121.00010.1,3533325
BUMA.1121.00019.2,2185904
BUMA.1121.00030.1,3471563
BUMA.1121.00044.2,2120272
BUMA.1121.00030.2,2120306
BUMA.1121.00020.2,2106749
BUMA.1121.00019.1,3512356
