block,species,chr,chr_beg,chr_end,orientation
1134,BUMA.1121.00050,2,2306771,2321567,+
1134,BUMA.1121.00081,2,1,14732,+
1134,BUMA.1121.00006,2,2308814,2323552,-
1134,BUMA.1121.00087,2,588465,603204,-
1134,BUMA.1121.00040,2,59302,74060,-
1134,BUMA.1121.00086,2,1,14733,+
1134,BUMA.1121.00054,2,2108906,2123644,-
1134,BUMA.1121.00034,2,3258,18032,+
1134,BUMA.1121.00048,2,739438,754175,+
1134,BUMA.1121.00017,2,3258,18032,+
1134,BUMA.1121.00038,2,2210015,2224753,-
1134,BUMA.1121.00085,2,1164186,1178924,+
1134,BUMA.1121.00002,2,556759,571553,-
1134,BUMA.1121.00046,2,1113598,1128375,-
1134,BUMA.1121.00042,2,1698212,1712933,-
1134,BUMA.1121.00036,2,1581057,1595817,-
1134,BUMA.1121.00013,2,430434,445165,+
1134,BUMA.1121.00028,2,3258,18032,+
1134,BUMA.1121.00010,2,1408648,1423442,-
1134,BUMA.1121.00004,2,3258,18032,+
1134,BUMA.1121.00015,2,252330,267071,+
1134,BUMA.1121.00008,2,3258,18032,+
1134,BUMA.1121.00022,2,1544975,1559727,+
1134,BUMA.1121.00026,2,602311,617056,+
1134,BUMA.1121.00024,2,3258,18032,+
1134,BUMA.1121.00052,2,117845,132583,+
1134,BUMA.1121.00032,2,548883,563650,+
1134,BUMA.1121.00019,2,3258,18025,+
1134,BUMA.1121.00044,2,54445,69219,+
1134,BUMA.1121.00030,2,2103726,2118501,-
1134,BUMA.1121.00020,2,3258,18025,+
1133,BUMA.1121.00050,2,2303728,2304741,+
1133,BUMA.1121.00081,2,2323569,2324593,+
1133,BUMA.1121.00006,2,2324333,2325357,-
1133,BUMA.1121.00087,2,603984,605008,-
1133,BUMA.1121.00040,2,74842,75866,-
1133,BUMA.1121.00086,2,2350884,2351908,+
1133,BUMA.1121.00054,2,2124425,2125449,-
1133,BUMA.1121.00034,2,1453,2477,+
1133,BUMA.1121.00048,2,737633,738657,+
1133,BUMA.1121.00017,2,1453,2477,+
1133,BUMA.1121.00038,2,2225534,2226558,-
1133,BUMA.1121.00085,2,1162383,1163407,+
1133,BUMA.1121.00002,2,572334,573358,-
1133,BUMA.1121.00046,2,1130404,1131418,-
1133,BUMA.1121.00042,2,1713714,1714738,-
1133,BUMA.1121.00036,2,1596597,1597621,-
1133,BUMA.1121.00013,2,428629,429653,+
1133,BUMA.1121.00028,2,1453,2477,+
1133,BUMA.1121.00010,2,1424223,1425247,-
1133,BUMA.1121.00004,2,1453,2477,+
1133,BUMA.1121.00015,2,250527,251551,+
1133,BUMA.1121.00008,2,1453,2477,+
1133,BUMA.1121.00022,2,1543171,1544195,+
1133,BUMA.1121.00026,2,600506,601530,+
1133,BUMA.1121.00024,2,1453,2477,+
1133,BUMA.1121.00052,2,116042,117066,+
1133,BUMA.1121.00032,2,547078,548102,+
1133,BUMA.1121.00019,2,1453,2477,+
1133,BUMA.1121.00044,2,52640,53664,+
1133,BUMA.1121.00030,2,2119282,2120306,-
1133,BUMA.1121.00020,2,1453,2477,+
1132,BUMA.1121.00050,2,2302276,2303726,+
1132,BUMA.1121.00081,2,2322117,2323567,+
1132,BUMA.1121.00006,2,1,1452,-
1132,BUMA.1121.00087,2,605009,606460,-
1132,BUMA.1121.00040,2,75867,77318,-
1132,BUMA.1121.00086,2,2349432,2350882,+
1132,BUMA.1121.00054,2,2125450,2126901,-
1132,BUMA.1121.00034,2,1,1451,+
1132,BUMA.1121.00048,2,736181,737631,+
1132,BUMA.1121.00017,2,1,1451,+
1132,BUMA.1121.00038,2,1,1452,-
1132,BUMA.1121.00085,2,1160931,1162381,+
1132,BUMA.1121.00002,2,573359,574810,-
1132,BUMA.1121.00046,2,1131419,1132870,-
1132,BUMA.1121.00042,2,1714739,1716190,-
1132,BUMA.1121.00036,2,1597622,1599073,-
1132,BUMA.1121.00013,2,427177,428627,+
1132,BUMA.1121.00028,2,1,1451,+
1132,BUMA.1121.00010,2,1425248,1426699,-
1132,BUMA.1121.00004,2,1,1451,+
1132,BUMA.1121.00015,2,249075,250525,+
1132,BUMA.1121.00008,2,1,1451,+
1132,BUMA.1121.00022,2,1541719,1543169,+
1132,BUMA.1121.00026,2,599054,600504,+
1132,BUMA.1121.00024,2,1,1451,+
1132,BUMA.1121.00052,2,114590,116040,+
1132,BUMA.1121.00032,2,545626,547076,+
1132,BUMA.1121.00019,2,1,1451,+
1132,BUMA.1121.00044,2,51188,52638,+
1132,BUMA.1121.00030,2,1,1452,-
1132,BUMA.1121.00020,2,1,1451,+
1131,BUMA.1121.00050,2,2296122,2302216,+
1131,BUMA.1121.00081,2,2314358,2320459,+
1131,BUMA.1121.00006,2,3110,9210,-
1131,BUMA.1121.00087,2,608105,614210,-
1131,BUMA.1121.00040,2,77378,83477,-
1131,BUMA.1121.00086,2,2341681,2347787,+
1131,BUMA.1121.00054,2,2128559,2134659,-
1131,BUMA.1121.00034,2,2112807,2118908,+
1131,BUMA.1121.00048,2,728422,734523,+
1131,BUMA.1121.00017,2,2112802,2118903,+
1131,BUMA.1121.00038,2,3110,9210,-
1131,BUMA.1121.00085,2,1154778,1160871,+
1131,BUMA.1121.00002,2,576457,582550,-
1131,BUMA.1121.00046,2,1132930,1139023,-
1131,BUMA.1121.00042,2,1717844,1723950,-
1131,BUMA.1121.00036,2,1600718,1606817,-
1131,BUMA.1121.00013,2,421030,427117,+
1131,BUMA.1121.00028,2,2138957,2145058,+
1131,BUMA.1121.00010,2,1428346,1434439,-
1131,BUMA.1121.00004,2,2097516,2103616,+
1131,BUMA.1121.00015,2,242921,249015,+
1131,BUMA.1121.00008,2,2097015,2103116,+
1131,BUMA.1121.00022,2,1533974,1540074,+
1131,BUMA.1121.00026,2,591258,597401,+
1131,BUMA.1121.00024,2,2232700,2238801,+
1131,BUMA.1121.00052,2,108437,114530,+
1131,BUMA.1121.00032,2,537862,543963,+
1131,BUMA.1121.00019,2,2178138,2184239,+
1131,BUMA.1121.00044,2,43423,49524,+
1131,BUMA.1121.00030,2,3115,9215,-
1131,BUMA.1121.00020,2,2098985,2105086,+
1130,BUMA.1121.00050,2,2287932,2295828,+
1130,BUMA.1121.00081,2,2306168,2314064,+
1130,BUMA.1121.00006,2,9504,17400,-
1130,BUMA.1121.00087,2,614504,622400,-
1130,BUMA.1121.00040,2,83771,91667,-
1130,BUMA.1121.00086,2,2333491,2341387,+
1130,BUMA.1121.00054,2,2134953,2142849,-
1130,BUMA.1121.00034,2,2104617,2112513,+
1130,BUMA.1121.00048,2,720232,728128,+
1130,BUMA.1121.00017,2,2104612,2112508,+
1130,BUMA.1121.00038,2,9504,17400,-
1130,BUMA.1121.00085,2,1146588,1154484,+
1130,BUMA.1121.00002,2,582844,590740,-
1130,BUMA.1121.00046,2,1139317,1147213,-
1130,BUMA.1121.00042,2,1724244,1732140,-
1130,BUMA.1121.00036,2,1607111,1615007,-
1130,BUMA.1121.00013,2,412840,420736,+
1130,BUMA.1121.00028,2,2130767,2138663,+
1130,BUMA.1121.00010,2,1434733,1442629,-
1130,BUMA.1121.00004,2,2089326,2097222,+
1130,BUMA.1121.00015,2,234731,242627,+
1130,BUMA.1121.00008,2,2088825,2096721,+
1130,BUMA.1121.00022,2,1525784,1533680,+
1130,BUMA.1121.00026,2,583068,590964,+
1130,BUMA.1121.00024,2,2224510,2232406,+
1130,BUMA.1121.00052,2,100247,108143,+
1130,BUMA.1121.00032,2,529672,537568,+
1130,BUMA.1121.00019,2,2169948,2177844,+
1130,BUMA.1121.00044,2,35233,43129,+
1130,BUMA.1121.00030,2,9509,17405,-
1130,BUMA.1121.00020,2,2090795,2098691,+
1129,BUMA.1121.00050,2,2285129,2287699,+
1129,BUMA.1121.00081,2,2303365,2305935,+
1129,BUMA.1121.00006,2,17633,20203,-
1129,BUMA.1121.00087,2,622633,625203,-
1129,BUMA.1121.00040,2,91900,94470,-
1129,BUMA.1121.00086,2,2330688,2333258,+
1129,BUMA.1121.00054,2,2143082,2145652,-
1129,BUMA.1121.00034,2,2101814,2104384,+
1129,BUMA.1121.00048,2,717429,719999,+
1129,BUMA.1121.00017,2,2101809,2104379,+
1129,BUMA.1121.00038,2,17633,20203,-
1129,BUMA.1121.00085,2,1143785,1146355,+
1129,BUMA.1121.00002,2,590973,593543,-
1129,BUMA.1121.00046,2,1147446,1150016,-
1129,BUMA.1121.00042,2,1732373,1734943,-
1129,BUMA.1121.00036,2,1615240,1617810,-
1129,BUMA.1121.00013,2,410037,412607,+
1129,BUMA.1121.00028,2,2127964,2130534,+
1129,BUMA.1121.00010,2,1442862,1445432,-
1129,BUMA.1121.00004,2,2086523,2089093,+
1129,BUMA.1121.00015,2,231928,234498,+
1129,BUMA.1121.00008,2,2086022,2088592,+
1129,BUMA.1121.00022,2,1522981,1525551,+
1129,BUMA.1121.00026,2,580265,582835,+
1129,BUMA.1121.00024,2,2221707,2224277,+
1129,BUMA.1121.00052,2,97444,100014,+
1129,BUMA.1121.00032,2,526869,529439,+
1129,BUMA.1121.00019,2,2167145,2169715,+
1129,BUMA.1121.00044,2,32430,35000,+
1129,BUMA.1121.00030,2,17638,20208,-
1129,BUMA.1121.00020,2,2087992,2090562,+
1128,BUMA.1121.00050,2,2282639,2284775,+
1128,BUMA.1121.00081,2,2300875,2303011,+
1128,BUMA.1121.00006,2,20557,22693,-
1128,BUMA.1121.00087,2,625557,627693,-
1128,BUMA.1121.00040,2,94824,96942,-
1128,BUMA.1121.00086,2,2328198,2330334,+
1128,BUMA.1121.00054,2,2146006,2148142,-
1128,BUMA.1121.00034,2,2099324,2101460,+
1128,BUMA.1121.00048,2,714939,717075,+
1128,BUMA.1121.00017,2,2099319,2101455,+
1128,BUMA.1121.00038,2,20557,22693,-
1128,BUMA.1121.00085,2,1141295,1143431,+
1128,BUMA.1121.00002,2,593897,596033,-
1128,BUMA.1121.00046,2,1150370,1152506,-
1128,BUMA.1121.00042,2,1735297,1737433,-
1128,BUMA.1121.00036,2,1618164,1620300,-
1128,BUMA.1121.00013,2,407547,409683,+
1128,BUMA.1121.00028,2,2125474,2127610,+
1128,BUMA.1121.00010,2,1445786,1447922,-
1128,BUMA.1121.00004,2,2084033,2086169,+
1128,BUMA.1121.00015,2,229438,231574,+
1128,BUMA.1121.00008,2,2083532,2085668,+
1128,BUMA.1121.00022,2,1520491,1522627,+
1128,BUMA.1121.00026,2,577775,579911,+
1128,BUMA.1121.00024,2,2219217,2221353,+
1128,BUMA.1121.00052,2,94954,97090,+
1128,BUMA.1121.00032,2,524379,526515,+
1128,BUMA.1121.00019,2,2164655,2166791,+
1128,BUMA.1121.00044,2,29940,32076,+
1128,BUMA.1121.00030,2,20562,22698,-
1128,BUMA.1121.00020,2,2085502,2087638,+
1127,BUMA.1121.00050,2,2278558,2282030,+
1127,BUMA.1121.00081,2,2296794,2300266,+
1127,BUMA.1121.00006,2,23303,26774,-
1127,BUMA.1121.00087,2,628303,631783,-
1127,BUMA.1121.00040,2,97552,101014,-
1127,BUMA.1121.00086,2,2324108,2327589,+
1127,BUMA.1121.00054,2,2148752,2152223,-
1127,BUMA.1121.00034,2,2095243,2098715,+
1127,BUMA.1121.00048,2,710858,714330,+
1127,BUMA.1121.00017,2,2095238,2098710,+
1127,BUMA.1121.00038,2,23303,26774,-
1127,BUMA.1121.00085,2,1137214,1140686,+
1127,BUMA.1121.00002,2,596643,600114,-
1127,BUMA.1121.00046,2,1153116,1156587,-
1127,BUMA.1121.00042,2,1738043,1741505,-
1127,BUMA.1121.00036,2,1620910,1624381,-
1127,BUMA.1121.00013,2,403466,406938,+
1127,BUMA.1121.00028,2,2121393,2124865,+
1127,BUMA.1121.00010,2,1448532,1452003,-
1127,BUMA.1121.00004,2,2079952,2083424,+
1127,BUMA.1121.00015,2,225357,228829,+
1127,BUMA.1121.00008,2,2079451,2082923,+
1127,BUMA.1121.00022,2,1516410,1519882,+
1127,BUMA.1121.00026,2,573703,577166,+
1127,BUMA.1121.00024,2,2215136,2218608,+
1127,BUMA.1121.00052,2,90873,94345,+
1127,BUMA.1121.00032,2,520298,523770,+
1127,BUMA.1121.00019,2,2160574,2164046,+
1127,BUMA.1121.00044,2,25859,29331,+
1127,BUMA.1121.00030,2,23308,26779,-
1127,BUMA.1121.00020,2,2081421,2084893,+
1126,BUMA.1121.00050,2,2271042,2278024,+
1126,BUMA.1121.00081,2,2289236,2296260,+
1126,BUMA.1121.00006,2,27308,34333,-
1126,BUMA.1121.00087,2,632317,639189,-
1126,BUMA.1121.00040,2,101548,108462,-
1126,BUMA.1121.00086,2,2316703,2323574,+
1126,BUMA.1121.00054,2,2152757,2159780,-
1126,BUMA.1121.00034,2,2087826,2094709,+
1126,BUMA.1121.00048,2,703300,710324,+
1126,BUMA.1121.00017,2,2087821,2094704,+
1126,BUMA.1121.00038,2,27308,34333,-
1126,BUMA.1121.00085,2,1129770,1136680,+
1126,BUMA.1121.00002,2,600648,607520,-
1126,BUMA.1121.00046,2,1157121,1164104,-
1126,BUMA.1121.00042,2,1742039,1748899,-
1126,BUMA.1121.00036,2,1624915,1631811,-
1126,BUMA.1121.00013,2,396004,402932,+
1126,BUMA.1121.00028,2,2113952,2120859,+
1126,BUMA.1121.00010,2,1452537,1459409,-
1126,BUMA.1121.00004,2,2072523,2079418,+
1126,BUMA.1121.00015,2,217823,224823,+
1126,BUMA.1121.00008,2,2072022,2078917,+
1126,BUMA.1121.00022,2,1508993,1515876,+
1126,BUMA.1121.00026,2,566298,573169,+
1126,BUMA.1121.00024,2,2207695,2214602,+
1126,BUMA.1121.00052,2,83429,90339,+
1126,BUMA.1121.00032,2,512881,519764,+
1126,BUMA.1121.00019,2,2153145,2160040,+
1126,BUMA.1121.00044,2,18442,25325,+
1126,BUMA.1121.00030,2,27313,34197,-
