Seq_id	Size	Description
1	3158067	BUMA.1121.00049.2
2	3157158	BUMA.1121.00055.2
3	3249682	BUMA.1121.00011.2
4	3255964	BUMA.1121.00110.2
5	3327069	BUMA.1121.00109.2
6	3257149	BUMA.1121.00077.2
7	3188795	BUMA.1121.00027.2
8	4012048	BUMA.1121.00027.1
9	1858520	BUMA.1121.00026.2
10	3138916	BUMA.1121.00021.2
11	4191510	BUMA.1121.00025.1
12	4047168	BUMA.1121.00021.1
13	4099156	BUMA.1121.00023.1
14	3507313	BUMA.1121.00024.1
15	3245729	BUMA.1121.00023.2
16	2353251	BUMA.1121.00022.2
17	4191431	BUMA.1121.00033.1
18	3573774	BUMA.1121.00034.1
19	2120552	BUMA.1121.00034.2
20	3458245	BUMA.1121.00036.1
21	3506611	BUMA.1121.00032.1
22	3078971	BUMA.1121.00025.2
23	3265896	BUMA.1121.00031.2
24	3236633	BUMA.1121.00007.2
25	3976360	BUMA.1121.00009.1
26	3558359	BUMA.1121.00008.1
27	3245118	BUMA.1121.00097.2
28	2104758	BUMA.1121.00008.2
29	3176440	BUMA.1121.00059.2
30	3915206	BUMA.1121.00003.1
31	2093516	BUMA.1121.00002.2
32	2105259	BUMA.1121.00004.2
33	3254339	BUMA.1121.00005.2
34	3969298	BUMA.1121.00109.1
35	4075626	BUMA.1121.00053.1
36	4008750	BUMA.1121.00110.1
37	3925545	BUMA.1121.00104.1
38	3212183	BUMA.1121.00111.2
39	2325357	BUMA.1121.00006.2
40	3495687	BUMA.1121.00086.1
41	4092668	BUMA.1121.00092.1
42	4029411	BUMA.1121.00096.1
43	3539355	BUMA.1121.00054.1
44	4067975	BUMA.1121.00097.1
45	4092176	BUMA.1121.00093.1
46	3272138	BUMA.1121.00009.2
47	3983995	BUMA.1121.00106.1
48	3153284	BUMA.1121.00094.2
49	3248948	BUMA.1121.00101.2
50	3103695	BUMA.1121.00066.2
51	3533279	BUMA.1121.00010.1
52	3340053	BUMA.1121.00095.2
53	4121829	BUMA.1121.00035.1
54	3267160	BUMA.1121.00112.2
55	2146721	BUMA.1121.00042.2
56	4031107	BUMA.1121.00108.1
57	3578521	BUMA.1121.00028.1
58	4001777	BUMA.1121.00094.1
59	1726745	BUMA.1121.00032.2
60	4185307	BUMA.1121.00102.1
61	3260214	BUMA.1121.00090.2
62	2106729	BUMA.1121.00020.2
63	4032598	BUMA.1121.00111.1
64	3100794	BUMA.1121.00089.2
65	3988455	BUMA.1121.00089.1
66	3115305	BUMA.1121.00051.2
67	4126292	BUMA.1121.00084.1
68	4062495	BUMA.1121.00029.1
69	3190202	BUMA.1121.00001.2
70	4195070	BUMA.1121.00012.1
71	3476186	BUMA.1121.00087.1
72	3258775	BUMA.1121.00045.2
73	3269674	BUMA.1121.00043.2
74	4177999	BUMA.1121.00043.1
75	3509022	BUMA.1121.00046.1
76	4027521	BUMA.1121.00037.1
77	4013273	BUMA.1121.00080.1
78	4066496	BUMA.1121.00079.1
79	4019555	BUMA.1121.00045.1
80	3113526	BUMA.1121.00063.2
81	3855598	BUMA.1121.00071.1
82	3984211	BUMA.1121.00056.1
83	3112891	BUMA.1121.00079.2
84	3119419	BUMA.1121.00071.2
85	2352673	BUMA.1121.00086.2
86	2240444	BUMA.1121.00024.2
87	2096906	BUMA.1121.00010.2
88	2226169	BUMA.1121.00040.2
89	3145430	BUMA.1121.00093.2
90	4038504	BUMA.1121.00065.1
91	4058378	BUMA.1121.00058.1
92	4054214	BUMA.1121.00007.1
93	3244818	BUMA.1121.00091.2
94	3227179	BUMA.1121.00107.2
95	4028032	BUMA.1121.00067.1
96	4121652	BUMA.1121.00090.1
97	3184745	BUMA.1121.00088.2
98	3130285	BUMA.1121.00047.2
99	3987008	BUMA.1121.00051.1
100	3625803	BUMA.1121.00020.1
101	2185884	BUMA.1121.00019.2
102	4059501	BUMA.1121.00103.1
103	2351354	BUMA.1121.00087.2
104	3144330	BUMA.1121.00039.2
105	3510187	BUMA.1121.00048.1
106	4091933	BUMA.1121.00047.1
107	3500987	BUMA.1121.00042.1
108	4098323	BUMA.1121.00055.1
109	4077668	BUMA.1121.00031.1
110	3553991	BUMA.1121.00040.1
111	2120306	BUMA.1121.00030.2
112	3517959	BUMA.1121.00044.1
113	3263222	BUMA.1121.00016.2
114	4140527	BUMA.1121.00088.1
115	3850633	BUMA.1121.00069.1
116	3138747	BUMA.1121.00092.2
117	1734922	BUMA.1121.00085.2
118	4006427	BUMA.1121.00064.1
119	2152790	BUMA.1121.00046.2
120	3127446	BUMA.1121.00003.2
121	4017692	BUMA.1121.00105.1
122	2325228	BUMA.1121.00054.2
123	3542895	BUMA.1121.00015.1
124	2237484	BUMA.1121.00015.2
125	3200711	BUMA.1121.00105.2
126	4003948	BUMA.1121.00059.1
127	1734864	BUMA.1121.00052.2
128	3550588	BUMA.1121.00026.1
129	3217986	BUMA.1121.00053.2
130	3559874	BUMA.1121.00022.1
131	3139014	BUMA.1121.00057.2
132	3497616	BUMA.1121.00052.1
133	3194326	BUMA.1121.00108.2
134	3955091	BUMA.1121.00101.1
135	4090941	BUMA.1121.00001.1
136	2321527	BUMA.1121.00050.2
137	3509987	BUMA.1121.00038.1
138	3146548	BUMA.1121.00104.2
139	3273436	BUMA.1121.00014.2
140	2284094	BUMA.1121.00036.2
141	2226558	BUMA.1121.00038.2
142	4112169	BUMA.1121.00068.1
143	3205965	BUMA.1121.00098.2
144	3303850	BUMA.1121.00078.2
145	4088898	BUMA.1121.00099.1
146	3267789	BUMA.1121.00029.2
147	4021786	BUMA.1121.00091.1
148	3267421	BUMA.1121.00099.2
149	4240564	BUMA.1121.00098.1
150	3390988	BUMA.1121.00103.2
151	3560387	BUMA.1121.00013.1
152	4032972	BUMA.1121.00049.1
153	3190204	BUMA.1121.00102.2
154	2146701	BUMA.1121.00028.2
155	3847660	BUMA.1121.00072.1
156	3933277	BUMA.1121.00076.1
157	3147867	BUMA.1121.00075.2
158	2120266	BUMA.1121.00044.2
159	3208521	BUMA.1121.00076.2
160	3363129	BUMA.1121.00074.2
161	3120072	BUMA.1121.00073.2
162	3173067	BUMA.1121.00083.2
163	3306537	BUMA.1121.00035.2
164	3097834	BUMA.1121.00072.2
165	4074547	BUMA.1121.00083.1
166	3102103	BUMA.1121.00056.2
167	4166370	BUMA.1121.00078.1
168	2325358	BUMA.1121.00081.2
169	3997043	BUMA.1121.00095.1
170	4009467	BUMA.1121.00077.1
171	3852886	BUMA.1121.00063.1
172	3859639	BUMA.1121.00061.1
173	3245064	BUMA.1121.00033.2
174	3102688	BUMA.1121.00061.2
175	3553303	BUMA.1121.00050.1
176	3510148	BUMA.1121.00081.1
177	3800385	BUMA.1121.00074.1
178	3976798	BUMA.1121.00062.1
179	3225565	BUMA.1121.00062.2
180	3039355	BUMA.1121.00064.2
181	3008316	BUMA.1121.00060.2
182	4019503	BUMA.1121.00060.1
183	3842045	BUMA.1121.00070.1
184	3069583	BUMA.1121.00069.2
185	3932431	BUMA.1121.00075.1
186	3099454	BUMA.1121.00070.2
187	4135206	BUMA.1121.00041.1
188	3147757	BUMA.1121.00068.2
189	3866281	BUMA.1121.00073.1
190	3471439	BUMA.1121.00017.1
191	3156596	BUMA.1121.00067.2
192	3854943	BUMA.1121.00066.1
193	3207929	BUMA.1121.00037.2
194	3228004	BUMA.1121.00065.2
195	3214293	BUMA.1121.00058.2
196	4110442	BUMA.1121.00107.1
197	3497434	BUMA.1121.00085.1
198	3471518	BUMA.1121.00030.1
199	3248554	BUMA.1121.00041.2
200	3181762	BUMA.1121.00084.2
201	3361895	BUMA.1121.00096.2
202	4228716	BUMA.1121.00112.1
203	3173851	BUMA.1121.00080.2
204	3531732	BUMA.1121.00002.1
205	4074542	BUMA.1121.00082.1
206	4224888	BUMA.1121.00014.1
207	2125937	BUMA.1121.00013.2
208	3108026	BUMA.1121.00100.2
209	3286818	BUMA.1121.00012.2
210	4067698	BUMA.1121.00011.1
211	3512311	BUMA.1121.00019.1
212	4007524	BUMA.1121.00057.1
213	3084746	BUMA.1121.00018.2
214	4149734	BUMA.1121.00018.1
215	2325354	BUMA.1121.00048.2
216	4046807	BUMA.1121.00039.1
217	4056414	BUMA.1121.00016.1
218	3194042	BUMA.1121.00106.2
219	2120545	BUMA.1121.00017.2
220	3623658	BUMA.1121.00004.1
221	3173005	BUMA.1121.00082.2
222	4059297	BUMA.1121.00005.1
223	4021787	BUMA.1121.00100.1
224	3510064	BUMA.1121.00006.1
--------------------------------------------------------------------------------
Block #507
Seq_id	Strand	Start	End	Length
202	+	348576	354775	6199
206	+	166988	173158	6170
--------------------------------------------------------------------------------
Block #506
Seq_id	Strand	Start	End	Length
202	+	336102	345004	8902
206	+	152698	161606	8908
--------------------------------------------------------------------------------
Block #505
Seq_id	Strand	Start	End	Length
202	+	312914	321604	8690
206	+	125956	134617	8661
--------------------------------------------------------------------------------
Block #504
Seq_id	Strand	Start	End	Length
202	+	298158	306626	8468
206	+	111465	119925	8460
--------------------------------------------------------------------------------
Block #503
Seq_id	Strand	Start	End	Length
165	+	1065240	1102343	37103
205	-	639587	602484	37103
--------------------------------------------------------------------------------
Block #502
Seq_id	Strand	Start	End	Length
165	+	832517	845929	13412
205	-	872302	858891	13411
--------------------------------------------------------------------------------
Block #501
Seq_id	Strand	Start	End	Length
147	+	1401467	1409651	8184
169	+	2599894	2608073	8179
187	-	346668	338484	8184
222	-	1827503	1819319	8184
--------------------------------------------------------------------------------
Block #500
Seq_id	Strand	Start	End	Length
147	+	1396013	1401465	5452
169	+	2592985	2598439	5454
187	-	352121	346669	5452
222	-	1832956	1827504	5452
--------------------------------------------------------------------------------
Block #499
Seq_id	Strand	Start	End	Length
147	+	1386799	1391925	5126
169	+	2583782	2588898	5116
187	-	361335	356208	5127
222	-	1842170	1837043	5127
--------------------------------------------------------------------------------
Block #498
Seq_id	Strand	Start	End	Length
145	+	844707	880986	36279
149	+	2293538	2329805	36267
222	-	218161	181304	36857
--------------------------------------------------------------------------------
Block #497
Seq_id	Strand	Start	End	Length
142	+	1344464	1351029	6565
196	+	2497865	2504441	6576
--------------------------------------------------------------------------------
Block #496
Seq_id	Strand	Start	End	Length
134	+	1695113	1701982	6869
196	-	635355	628484	6871
--------------------------------------------------------------------------------
Block #495
Seq_id	Strand	Start	End	Length
133	+	2612454	2621247	8793
144	-	774951	766158	8793
157	-	478701	469908	8793
159	+	118767	127560	8793
188	+	954661	963454	8793
208	+	394331	403124	8793
209	-	2572636	2563853	8783
--------------------------------------------------------------------------------
Block #494
Seq_id	Strand	Start	End	Length
133	+	2604001	2612452	8451
209	-	2581090	2572637	8453
--------------------------------------------------------------------------------
Block #493
Seq_id	Strand	Start	End	Length
121	+	643974	649941	5967
202	+	2514168	2520123	5955
--------------------------------------------------------------------------------
Block #492
Seq_id	Strand	Start	End	Length
109	+	1942478	1951302	8824
206	-	2277632	2268808	8824
--------------------------------------------------------------------------------
Block #491
Seq_id	Strand	Start	End	Length
109	+	1932477	1939849	7372
206	-	2286362	2278990	7372
--------------------------------------------------------------------------------
Block #490
Seq_id	Strand	Start	End	Length
109	+	1921406	1928373	6967
206	-	2297585	2290466	7119
--------------------------------------------------------------------------------
Block #489
Seq_id	Strand	Start	End	Length
109	+	1908934	1920240	11306
206	-	2308571	2298750	9821
--------------------------------------------------------------------------------
Block #488
Seq_id	Strand	Start	End	Length
106	+	1837502	1843623	6121
114	-	2022183	2016062	6121
--------------------------------------------------------------------------------
Block #487
Seq_id	Strand	Start	End	Length
102	+	718819	728953	10134
147	+	863885	874019	10134
196	-	3599507	3589364	10143
--------------------------------------------------------------------------------
Block #486
Seq_id	Strand	Start	End	Length
95	+	3835506	3841840	6334
177	+	3311792	3318126	6334
--------------------------------------------------------------------------------
Block #485
Seq_id	Strand	Start	End	Length
95	+	3819479	3834338	14859
177	+	3295765	3310624	14859
--------------------------------------------------------------------------------
Block #484
Seq_id	Strand	Start	End	Length
92	+	2998888	3007432	8544
102	+	3192752	3201474	8722
108	-	805065	796538	8527
149	-	3953165	3944822	8343
165	+	370899	379232	8333
187	-	2523589	2515026	8563
205	-	1333927	1325594	8333
210	+	372704	381047	8343
--------------------------------------------------------------------------------
Block #483
Seq_id	Strand	Start	End	Length
91	+	1945185	1951123	5938
202	+	356131	362059	5928
206	+	175455	181386	5931
--------------------------------------------------------------------------------
Block #482
Seq_id	Strand	Start	End	Length
91	+	1923394	1939149	15755
