strain,character_state,character_state_annotation
BUMA.1121.00017,0,adjacency exists
BUMA.1121.00052,0,adjacency exists
BUMA.1121.00020,0,adjacency exists
BUMA.1121.00010,3,inversion between 153h-164t and 26h-28t
BUMA.1121.00034,0,adjacency exists
BUMA.1121.00087,4,inversion between 153h-164t and 235t-229h
BUMA.1121.00044,0,adjacency exists
BUMA.1121.00050,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00048,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00054,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00002,3,inversion between 153h-164t and 26h-28t
BUMA.1121.00046,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00042,1,complex break of adjacency
BUMA.1121.00085,0,adjacency exists
BUMA.1121.00081,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00013,0,adjacency exists
BUMA.1121.00030,0,adjacency exists
BUMA.1121.00006,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00086,4,inversion between 153h-164t and 235t-229h
BUMA.1121.00024,0,adjacency exists
BUMA.1121.00028,0,adjacency exists
BUMA.1121.00015,1,complex break of adjacency
BUMA.1121.00036,0,adjacency exists
BUMA.1121.00032,0,adjacency exists
BUMA.1121.00038,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00004,0,adjacency exists
BUMA.1121.00019,0,adjacency exists
BUMA.1121.00022,0,adjacency exists
BUMA.1121.00008,0,adjacency exists
BUMA.1121.00026,5,inversion between 153h-164t and 49h-72t
BUMA.1121.00040,1,complex break of adjacency
