block,species,chr,chr_beg,chr_end,orientation
463,BUMA.1121.00094,1,1141331,1146443,+
463,BUMA.1121.00065,1,1222671,1227785,+
462,BUMA.1121.00097,1,3965625,3975141,+
462,BUMA.1121.00101,1,2396376,2407132,+
461,BUMA.1121.00109,1,774567,782285,+
461,BUMA.1121.00100,1,198604,206322,+
460,BUMA.1121.00108,2,2603999,2612452,+
460,BUMA.1121.00012,2,2572637,2581090,-
459,BUMA.1121.00099,1,844710,880986,+
459,BUMA.1121.00098,1,2293538,2329807,+
459,BUMA.1121.00005,1,181303,218161,-
458,BUMA.1121.00107,1,628484,635355,+
458,BUMA.1121.00101,1,1695112,1701982,-
457,BUMA.1121.00001,1,3000665,3006137,+
457,BUMA.1121.00029,1,3845939,3851412,+
457,BUMA.1121.00035,1,2192419,2197893,-
456,BUMA.1121.00012,1,2798651,2805351,+
456,BUMA.1121.00035,1,1108830,1115530,+
455,BUMA.1121.00102,1,1665033,1670563,+
455,BUMA.1121.00098,1,2287913,2293463,-
454,BUMA.1121.00090,1,3277460,3282769,+
454,BUMA.1121.00012,1,3932951,3938258,+
454,BUMA.1121.00035,1,2266395,2271704,+
453,BUMA.1121.00014,1,2298792,2308538,+
453,BUMA.1121.00031,1,1908967,1920198,-
452,BUMA.1121.00014,1,2291142,2297569,+
452,BUMA.1121.00031,1,1921421,1927697,-
451,BUMA.1121.00014,1,2278976,2285756,+
451,BUMA.1121.00031,1,1933083,1939864,-
450,BUMA.1121.00014,1,2268808,2277630,+
450,BUMA.1121.00031,1,1942480,1951302,-
449,BUMA.1121.00079,1,3597289,3614748,+
449,BUMA.1121.00106,1,3297227,3313446,+
448,BUMA.1121.00062,1,773669,780938,+
448,BUMA.1121.00094,1,3812607,3819876,-
447,BUMA.1121.00082,1,858906,872582,+
447,BUMA.1121.00083,1,832238,845913,-
446,BUMA.1121.00082,1,602368,638853,+
446,BUMA.1121.00083,1,1065974,1102460,-
445,BUMA.1121.00104,2,141073,153541,+
445,BUMA.1121.00049,2,1846042,1858510,+
444,BUMA.1121.00110,1,1327295,1336295,+
444,BUMA.1121.00077,1,2147021,2156021,-
443,BUMA.1121.00110,1,933329,942400,+
443,BUMA.1121.00077,1,2540914,2549985,-
442,BUMA.1121.00007,2,553189,562814,+
442,BUMA.1121.00082,1,886364,895989,+
442,BUMA.1121.00083,1,808831,818456,-
441,BUMA.1121.00111,2,725236,732854,+
441,BUMA.1121.00037,2,634656,642302,+
440,BUMA.1121.00091,1,1401467,1409651,+
440,BUMA.1121.00095,1,2599889,2608073,+
440,BUMA.1121.00005,1,1819319,1827503,-
440,BUMA.1121.00041,1,338484,346668,-
439,BUMA.1121.00091,1,1395920,1401465,+
439,BUMA.1121.00095,1,2592892,2598437,+
439,BUMA.1121.00005,1,1827504,1833049,-
439,BUMA.1121.00041,1,346669,352214,-
438,BUMA.1121.00091,1,863885,874025,+
438,BUMA.1121.00103,1,718819,728959,+
438,BUMA.1121.00107,1,3589359,3599507,-
437,BUMA.1121.00112,1,2514168,2520121,+
437,BUMA.1121.00105,1,643974,649939,+
436,BUMA.1121.00112,1,336975,345004,+
436,BUMA.1121.00014,1,153571,161606,+
435,BUMA.1121.00112,1,312931,326107,+
435,BUMA.1121.00014,1,125956,139105,+
434,BUMA.1121.00112,1,298154,306626,+
434,BUMA.1121.00014,1,111452,119925,+
433,BUMA.1121.00056,1,3828169,3841213,+
433,BUMA.1121.00089,1,84218,97262,-
432,BUMA.1121.00103,2,983731,1006379,+
432,BUMA.1121.00007,2,2465247,2487895,+
432,BUMA.1121.00100,1,3272237,3294860,-
431,BUMA.1121.00103,2,634793,659864,+
431,BUMA.1121.00095,2,880233,905304,+
430,BUMA.1121.00031,2,2866524,2872149,+
430,BUMA.1121.00014,2,534300,539818,+
430,BUMA.1121.00037,2,807639,813166,+
429,BUMA.1121.00043,1,3995511,4004127,+
429,BUMA.1121.00078,1,1889620,1898501,+
428,BUMA.1121.00059,1,3568917,3575325,+
428,BUMA.1121.00110,1,464863,471261,-
428,BUMA.1121.00077,1,3012156,3018551,+
427,BUMA.1121.00059,1,3313987,3322894,+
427,BUMA.1121.00110,1,722446,731354,-
427,BUMA.1121.00077,1,2752039,2760946,+
426,BUMA.1121.00053,1,3540437,3545525,+
426,BUMA.1121.00041,1,1032905,1037993,+
425,BUMA.1121.00053,1,2344074,2350972,+
425,BUMA.1121.00102,1,2703117,2710015,-
425,BUMA.1121.00111,1,1664536,1671449,-
424,BUMA.1121.00053,1,2314402,2322483,+
424,BUMA.1121.00102,1,2731606,2739687,-
423,BUMA.1121.00090,2,2626265,2632962,+
423,BUMA.1121.00033,2,2265546,2272235,-
423,BUMA.1121.00043,2,790941,797630,+
423,BUMA.1121.00012,2,157712,164401,+
422,BUMA.1121.00027,1,3183181,3193244,+
422,BUMA.1121.00065,1,1042926,1052991,+
421,BUMA.1121.00080,1,3011499,3020799,+
421,BUMA.1121.00047,1,4006820,4016119,-
421,BUMA.1121.00079,1,3045825,3055125,+
420,BUMA.1121.00018,1,3628461,3635417,+
420,BUMA.1121.00025,1,3774409,3781367,-
420,BUMA.1121.00021,1,3643993,3650951,+
419,BUMA.1121.00018,1,2271943,2312879,+
419,BUMA.1121.00025,1,946878,987816,-
418,BUMA.1121.00018,1,1313462,1332638,+
418,BUMA.1121.00025,1,1927233,1946410,-
417,BUMA.1121.00018,1,1284830,1291605,+
417,BUMA.1121.00025,1,1968266,1975041,-
416,BUMA.1121.00018,1,1273499,1279748,+
416,BUMA.1121.00025,1,1980123,1986372,-
415,BUMA.1121.00018,1,289354,294417,+
415,BUMA.1121.00025,1,2965463,2970526,-
414,BUMA.1121.00018,1,262834,281777,+
414,BUMA.1121.00025,1,2978103,2997047,-
413,BUMA.1121.00033,1,4103546,4121408,+
413,BUMA.1121.00078,1,129268,147133,-
413,BUMA.1121.00012,1,521764,539626,+
412,BUMA.1121.00033,1,4090210,4103544,+
412,BUMA.1121.00078,1,148756,162285,-
412,BUMA.1121.00012,1,508427,521762,+
411,BUMA.1121.00110,2,2188750,2198791,+
411,BUMA.1121.00077,2,1417288,1427329,-
410,BUMA.1121.00109,2,3152841,3173721,+
410,BUMA.1121.00062,2,161114,182059,+
410,BUMA.1121.00084,2,212088,233027,-
410,BUMA.1121.00088,2,1508563,1529502,-
410,BUMA.1121.00105,2,901320,922264,+
410,BUMA.1121.00059,2,2073400,2094340,+
410,BUMA.1121.00058,2,2114216,2135144,-
410,BUMA.1121.00106,2,205550,226492,-
409,BUMA.1121.00109,2,3129915,3148373,+
409,BUMA.1121.00062,2,137653,156111,+
409,BUMA.1121.00084,2,238745,257202,-
409,BUMA.1121.00088,2,1535220,1553677,-
409,BUMA.1121.00105,2,875932,894390,+
409,BUMA.1121.00059,2,2050802,2069260,+
409,BUMA.1121.00058,2,2140132,2158588,-
409,BUMA.1121.00106,2,233422,251874,-
408,BUMA.1121.00109,2,3123395,3129914,+
408,BUMA.1121.00109,2,3173723,3180242,-
408,BUMA.1121.00062,2,131134,137652,+
408,BUMA.1121.00062,2,182061,188580,-
408,BUMA.1121.00084,2,205568,212087,+
408,BUMA.1121.00084,2,257204,263723,-
408,BUMA.1121.00088,2,1502043,1508562,+
408,BUMA.1121.00088,2,1553679,1560198,-
408,BUMA.1121.00105,2,869412,875931,+
408,BUMA.1121.00105,2,922266,928785,-
408,BUMA.1121.00059,2,2044282,2050801,+
408,BUMA.1121.00059,2,2094342,2100861,-
408,BUMA.1121.00058,2,2107696,2114215,+
408,BUMA.1121.00058,2,2158590,2165109,-
408,BUMA.1121.00106,2,199030,205549,+
408,BUMA.1121.00106,2,251876,258395,-
407,BUMA.1121.00109,2,2396823,2421085,+
407,BUMA.1121.00047,1,567597,590643,+
407,BUMA.1121.00003,2,459936,482981,-
407,BUMA.1121.00065,2,2286570,2309616,-
407,BUMA.1121.00095,2,1076766,1099784,-
406,BUMA.1121.00109,2,1436420,1443820,+
406,BUMA.1121.00104,2,126889,134283,-
406,BUMA.1121.00049,2,1829513,1836907,-
405,BUMA.1121.00093,2,2409772,2417253,+
405,BUMA.1121.00092,2,527644,535125,-
404,BUMA.1121.00093,2,2403725,2408799,+
404,BUMA.1121.00092,2,536098,541173,-
403,BUMA.1121.00094,2,562179,569939,+
403,BUMA.1121.00079,2,520145,527905,+
403,BUMA.1121.00047,2,1450323,1458076,+
403,BUMA.1121.00051,2,519845,527605,+
403,BUMA.1121.00080,2,519868,527628,+
402,BUMA.1121.00094,2,550233,556982,+
402,BUMA.1121.00031,2,2888532,2895222,+
402,BUMA.1121.00014,2,556203,562894,+
402,BUMA.1121.00074,2,474065,480754,-
402,BUMA.1121.00037,2,828697,835385,+
401,BUMA.1121.00094,2,544428,550046,+
401,BUMA.1121.00037,2,822751,828510,+
400,BUMA.1121.00094,2,528157,534811,+
400,BUMA.1121.00074,2,497383,503126,-
399,BUMA.1121.00074,1,3311792,3318124,+
399,BUMA.1121.00067,1,3835506,3841838,+
398,BUMA.1121.00074,1,3295765,3310669,+
398,BUMA.1121.00067,1,3819479,3834383,+
397,BUMA.1121.00016,2,78963,84632,+
397,BUMA.1121.00043,2,1916247,1921916,+
396,BUMA.1121.00016,2,73760,78962,+
396,BUMA.1121.00043,2,1911044,1916246,+
396,BUMA.1121.00090,1,3648422,3653621,+
395,BUMA.1121.00016,2,62465,70469,+
395,BUMA.1121.00043,2,1896656,1904660,+
394,BUMA.1121.00100,2,394331,403124,+
394,BUMA.1121.00075,2,469908,478701,-
394,BUMA.1121.00078,2,766158,774951,-
394,BUMA.1121.00068,2,954661,963454,+
394,BUMA.1121.00076,2,118767,127560,+
394,BUMA.1121.00108,2,2612454,2621247,+
